index	original	background	difference
-----------------------------------------------------
1	3312	2270	1042
2	3051	2116	935
3	2949	2044	905
4	3014	2105	909
5	2982	2099	883
6	3144	2188	956
7	3165	2181	984
8	3161	2211	950
9	3125	2187	938
10	2976	2005	971
11	2895	1971	924
12	3013	2099	914
13	3138	2229	909
14	3153	2194	959
15	3028	2039	989
16	3061	2140	921
17	3073	2176	897
18	3091	2107	984
19	2865	1926	939
20	2962	2002	960
21	3168	2159	1009
22	3089	2077	1012
23	3043	2013	1030
24	3068	2131	937
25	3107	2168	939
26	3074	2058	1016
27	2892	1903	989
28	2926	1972	954
29	3027	2072	955
30	3096	2063	1033
31	3056	1997	1059
32	3074	2089	985
33	3074	2100	974
34	2973	2012	961
35	3118	2087	1031
36	3214	2155	1059
37	3167	2153	1014
38	3063	2068	995
39	2870	1954	916
40	2920	2025	895
41	3088	2114	974
42	2983	1998	985
43	2918	1945	973
44	3064	2051	1013
45	3234	2199	1035
46	3164	2142	1022
47	3043	2041	1002
48	2984	2047	937
49	3139	2151	988
50	3182	2186	996
51	3126	2143	983
52	3144	2127	1017
53	3305	2234	1071
54	3109	2052	1057
55	2841	1875	966
56	3076	2058	1018
57	3360	2280	1080
58	3093	2054	1039
59	2966	1922	1044
60	3198	2063	1135
61	3319	2243	1076
62	3159	2164	995
63	3041	2021	1020
64	3116	2109	1007
65	3217	2182	1035
66	3156	2090	1066
67	3121	1992	1129
68	3122	2051	1071
69	3081	2063	1018
70	3043	1976	1067
71	3105	2063	1042
72	3420	2306	1114
73	3247	2208	1039
74	3028	2047	981
75	2908	1906	1002
76	3067	2013	1054
77	3192	2144	1048
78	3114	2082	1032
79	3085	2072	1013
80	3190	2128	1062
81	3287	2190	1097
82	3072	2011	1061
83	3084	2009	1075
84	3216	2097	1119
85	3274	2181	1093
86	3081	2098	983
87	3032	2044	988
88	3176	2110	1066
89	3287	2187	1100
90	3187	2098	1089
91	3333	2177	1156
92	3434	2279	1155
93	3193	2130	1063
94	3062	2024	1038
95	3041	1960	1081
96	3216	2140	1076
97	3368	2264	1104
98	3253	2123	1130
99	3089	2050	1039
100	3087	2087	1000
101	3258	2148	1110
102	3313	2098	1215
103	3195	2061	1134
104	3379	2265	1114
105	3460	2350	1110
106	3348	2206	1142
107	3166	2063	1103
108	3211	2158	1053
109	3374	2221	1153
110	3202	2111	1091
111	3371	2180	1191
112	3423	2219	1204
113	3280	2120	1160
114	3264	2096	1168
115	3212	2086	1126
116	3203	2138	1065
117	3367	2219	1148
118	3134	2070	1064
119	3096	1995	1101
120	3222	2083	1139
121	3189	2129	1060
122	3104	2053	1051
123	3075	1936	1139
124	3134	2038	1096
125	3209	2099	1110
126	3241	2078	1163
127	3227	2113	1114
128	3524	2384	1140
129	3464	2322	1142
130	3250	2133	1117
131	3119	2017	1102
132	3346	2189	1157
133	3359	2193	1166
134	3171	1992	1179
135	3179	2010	1169
136	3375	2176	1199
137	3426	2223	1203
138	3258	2091	1167
139	3254	2096	1158
140	3239	2061	1178
141	3307	2109	1198
142	3341	2162	1179
143	3267	2085	1182
144	3366	2154	1212
145	3347	2139	1208
146	3378	2160	1218
147	3263	2084	1179
148	3217	2075	1142
149	3443	2253	1190
150	3466	2220	1246
151	3241	2036	1205
152	3448	2212	1236
153	3527	2287	1240
154	3555	2212	1343
155	3422	2156	1266
