index	original	background	difference
-----------------------------------------------------
1	1418	0	1418
2	1401	0	1401
3	1418	0	1418
4	1409	0	1409
5	1379	0	1379
6	1409	0	1409
7	1428	0	1428
8	1429	0	1429
9	1390	0	1390
10	1419	0	1419
11	1410	0	1410
12	1390	0	1390
13	1417	0	1417
14	1447	0	1447
15	1411	0	1411
16	1396	0	1396
17	1413	0	1413
18	1439	0	1439
19	1432	0	1432
20	1421	0	1421
21	1398	0	1398
22	1423	0	1423
23	1424	0	1424
24	1395	0	1395
25	1424	0	1424
26	1429	0	1429
27	1404	0	1404
28	1407	0	1407
29	1420	0	1420
30	1449	0	1449
31	1436	0	1436
32	1453	0	1453
33	1426	0	1426
34	1432	0	1432
35	1440	0	1440
36	1426	0	1426
37	1428	0	1428
38	1444	0	1444
39	1415	0	1415
40	1411	0	1411
41	1436	0	1436
42	1443	0	1443
43	1418	0	1418
44	1415	0	1415
45	1432	0	1432
46	1410	0	1410
47	1418	0	1418
48	1445	0	1445
49	1445	0	1445
50	1468	0	1468
51	1452	0	1452
52	1419	0	1419
53	1424	0	1424
54	1422	0	1422
55	1373	0	1373
56	1412	0	1412
57	1452	0	1452
58	1461	0	1461
59	1430	0	1430
60	1452	0	1452
61	1479	0	1479
62	1494	0	1494
63	1485	0	1485
64	1459	0	1459
65	1448	0	1448
66	1451	0	1451
67	1456	0	1456
68	1452	0	1452
69	1465	0	1465
70	1450	0	1450
71	1454	0	1454
72	1489	0	1489
73	1469	0	1469
74	1484	0	1484
75	1471	0	1471
76	1429	0	1429
77	1417	0	1417
78	1448	0	1448
79	1457	0	1457
80	1465	0	1465
81	1466	0	1466
82	1457	0	1457
83	1431	0	1431
84	1452	0	1452
85	1450	0	1450
86	1468	0	1468
87	1455	0	1455
88	1458	0	1458
89	1440	0	1440
90	1455	0	1455
91	1498	0	1498
92	1494	0	1494
93	1475	0	1475
94	1461	0	1461
95	1465	0	1465
96	1478	0	1478
97	1467	0	1467
98	1461	0	1461
99	1476	0	1476
100	1482	0	1482
101	1490	0	1490
102	1507	0	1507
103	1480	0	1480
104	1484	0	1484
105	1470	0	1470
106	1487	0	1487
107	1486	0	1486
108	1497	0	1497
109	1461	0	1461
110	1488	0	1488
111	1484	0	1484
112	1469	0	1469
113	1464	0	1464
114	1469	0	1469
115	1481	0	1481
116	1500	0	1500
117	1478	0	1478
118	1469	0	1469
119	1445	0	1445
120	1455	0	1455
121	1483	0	1483
122	1482	0	1482
123	1467	0	1467
124	1466	0	1466
125	1498	0	1498
126	1495	0	1495
127	1479	0	1479
128	1496	0	1496
129	1467	0	1467
130	1472	0	1472
131	1463	0	1463
132	1475	0	1475
133	1490	0	1490
134	1485	0	1485
135	1467	0	1467
136	1497	0	1497
137	1502	0	1502
138	1487	0	1487
139	1496	0	1496
140	1466	0	1466
141	1449	0	1449
142	1476	0	1476
143	1497	0	1497
144	1478	0	1478
145	1476	0	1476
146	1497	0	1497
147	1490	0	1490
148	1488	0	1488
149	1474	0	1474
150	1485	0	1485
151	1477	0	1477
152	1511	0	1511
153	1505	0	1505
154	1499	0	1499
155	1506	0	1506
156	1501	0	1501
157	1464	0	1464
158	1480	0	1480
159	1482	0	1482
160	1485	0	1485
161	1514	0	1514
162	1492	0	1492
163	1482	0	1482
164	1503	0	1503
165	1468	0	1468
166	1469	0	1469
167	1480	0	1480
168	1483	0	1483
169	1486	0	1486
170	1498	0	1498
171	1515	0	1515
172	1494	0	1494
173	1480	0	1480
174	1534	0	1534
175	1547	0	1547
176	1501	0	1501
177	1495	0	1495
178	1499	0	1499
179	1520	0	1520
180	1528	0	1528
181	1519	0	1519
182	1556	0	1556
183	1536	0	1536
184	1491	0	1491
185	1501	0	1501
186	1509	0	1509
187	1523	0	1523
188	1516	0	1516
189	1526	0	1526
190	1514	0	1514
191	1510	0	1510
192	1524	0	1524
193	1481	0	1481
194	1511	0	1511
195	1533	0	1533
196	1533	0	1533
197	1519	0	1519
198	1521	0	1521
199	1547	0	1547
200	1540	0	1540
201	1509	0	1509
202	1499	0	1499
203	1503	0	1503
204	1513	0	1513
205	1526	0	1526
206	1550	0	1550
207	1536	0	1536
208	1527	0	1527
209	1506	0	1506
210	1538	0	1538
211	1530	0	1530
212	1545	0	1545
213	1541	0	1541
214	1536	0	1536
215	1531	0	1531
216	1545	0	1545
217	1530	0	1530
218	1516	0	1516
219	1536	0	1536
220	1517	0	1517
221	1524	0	1524
222	1512	0	1512
223	1523	0	1523
224	1547	0	1547
225	1530	0	1530
226	1525	0	1525
227	1526	0	1526
228	1535	0	1535
229	1522	0	1522
230	1564	0	1564
231	1555	0	1555
232	1520	0	1520
233	1522	0	1522
234	1520	0	1520
235	1541	0	1541
236	1542	0	1542
237	1527	0	1527
238	1541	0	1541
239	1557	0	1557
240	1540	0	1540
241	1550	0	1550
242	1549	0	1549
243	1580	0	1580
244	1589	0	1589
245	1553	0	1553
246	1566	0	1566
247	1541	0	1541
248	1565	0	1565
249	1583	0	1583
250	1573	0	1573
251	1570	0	1570
252	1549	0	1549
253	1535	0	1535
254	1588	0	1588
255	1592	0	1592
256	1570	0	1570
257	1559	0	1559
258	1548	0	1548
259	1569	0	1569
260	1575	0	1575
261	1538	0	1538
262	1604	0	1604
263	1580	0	1580
264	1536	0	1536
265	1544	0	1544
266	1573	0	1573
267	1558	0	1558
268	1585	0	1585
269	1577	0	1577
270	1577	0	1577
271	1619	0	1619
272	1593	0	1593
273	1569	0	1569
274	1549	0	1549
275	1568	0	1568
276	1567	0	1567
277	1540	0	1540
278	1536	0	1536
279	1587	0	1587
280	1573	0	1573
281	1584	0	1584
282	1622	0	1622
283	1613	0	1613
284	1588	0	1588
285	1555	0	1555
286	1554	0	1554
287	1545	0	1545
288	1535	0	1535
289	1568	0	1568
290	1572	0	1572
291	1553	0	1553
292	1567	0	1567
293	1548	0	1548
294	1547	0	1547
295	1564	0	1564
296	1567	0	1567
297	1550	0	1550
298	1585	0	1585
299	1573	0	1573
300	1581	0	1581
301	1583	0	1583
302	1588	0	1588
303	1588	0	1588
304	1597	0	1597
305	1566	0	1566
306	1553	0	1553
307	1553	0	1553
308	1549	0	1549
309	1581	0	1581
310	1585	0	1585
311	1565	0	1565
312	1594	0	1594
313	1585	0	1585
314	1590	0	1590
315	1617	0	1617
316	1593	0	1593
317	1559	0	1559
318	1564	0	1564
319	1584	0	1584
320	1599	0	1599
321	1580	0	1580
322	1572	0	1572
323	1560	0	1560
324	1553	0	1553
325	1560	0	1560
326	1567	0	1567
327	1584	0	1584
