index	original	background	difference
-----------------------------------------------------
1	2890	2270	620
2	2636	2116	520
3	2509	2044	465
4	2549	2105	444
5	2526	2099	427
6	2664	2188	476
7	2716	2181	535
8	2736	2211	525
9	2682	2187	495
10	2545	2005	540
11	2454	1971	483
12	2566	2099	467
13	2714	2229	485
14	2726	2194	532
15	2579	2039	540
16	2706	2140	566
17	2692	2176	516
18	2613	2107	506
19	2423	1926	497
20	2538	2002	536
21	2766	2159	607
22	2650	2077	573
23	2583	2013	570
24	2622	2131	491
25	2625	2168	457
26	2578	2058	520
27	2432	1903	529
28	2480	1972	508
29	2570	2072	498
30	2609	2063	546
31	2579	1997	582
32	2647	2089	558
33	2665	2100	565
34	2592	2012	580
35	2691	2087	604
36	2726	2155	571
37	2708	2153	555
38	2645	2068	577
39	2461	1954	507
40	2528	2025	503
41	2664	2114	550
42	2575	1998	577
43	2506	1945	561
44	2618	2051	567
45	2764	2199	565
46	2691	2142	549
47	2586	2041	545
48	2579	2047	532
49	2711	2151	560
50	2793	2186	607
51	2700	2143	557
52	2665	2127	538
53	2861	2234	627
54	2683	2052	631
55	2428	1875	553
56	2657	2058	599
57	2980	2280	700
58	2670	2054	616
59	2455	1922	533
60	2688	2063	625
61	2902	2243	659
62	2785	2164	621
63	2624	2021	603
64	2671	2109	562
65	2760	2182	578
66	2681	2090	591
67	2646	1992	654
68	2687	2051	636
69	2636	2063	573
70	2588	1976	612
71	2691	2063	628
72	3001	2306	695
73	2867	2208	659
74	2620	2047	573
75	2470	1906	564
76	2614	2013	601
77	2768	2144	624
78	2715	2082	633
79	2663	2072	591
80	2706	2128	578
81	2785	2190	595
82	2596	2011	585
83	2617	2009	608
84	2759	2097	662
85	2802	2181	621
86	2672	2098	574
87	2585	2044	541
88	2691	2110	581
89	2781	2187	594
90	2723	2098	625
91	2911	2177	734
92	3016	2279	737
93	2762	2130	632
94	2628	2024	604
95	2562	1960	602
96	2758	2140	618
97	2942	2264	678
98	2806	2123	683
99	2715	2050	665
100	2711	2087	624
101	2790	2148	642
102	2818	2098	720
103	2764	2061	703
104	2928	2265	663
105	3033	2350	683
106	2907	2206	701
107	2756	2063	693
108	2801	2158	643
109	2925	2221	704
110	2729	2111	618
111	2846	2180	666
112	2932	2219	713
113	2814	2120	694
114	2817	2096	721
115	2773	2086	687
116	2823	2138	685
117	2914	2219	695
118	2701	2070	631
119	2661	1995	666
120	2737	2083	654
121	2786	2129	657
122	2743	2053	690
123	2647	1936	711
124	2684	2038	646
125	2753	2099	654
126	2782	2078	704
127	2799	2113	686
128	3087	2384	703
129	3034	2322	712
130	2813	2133	680
131	2728	2017	711
132	2978	2189	789
133	2916	2193	723
134	2715	1992	723
135	2716	2010	706
136	2868	2176	692
137	2992	2223	769
138	2840	2091	749
139	2841	2096	745
140	2839	2061	778
141	2835	2109	726
142	2897	2162	735
143	2845	2085	760
144	2915	2154	761
145	2880	2139	741
146	2905	2160	745
147	2851	2084	767
148	2809	2075	734
149	3010	2253	757
150	2972	2220	752
151	2768	2036	732
152	3023	2212	811
153	3068	2287	781
154	3051	2212	839
155	2969	2156	813
156	3042	2290	752
157	2917	2200	717
158	2730	2042	688
159	2740	2020	720
160	3013	2178	835
161	3088	2231	857
162	2915	2099	816
163	2898	2099	799
164	3065	2268	797
165	3034	2255	779
166	2972	2151	821
167	2894	2068	826
168	2935	2150	785
169	2991	2214	777
170	2905	2131	774
171	2955	2107	848
172	2999	2198	801
173	3028	2230	798
174	2814	2057	757
175	2828	2050	778
176	2896	2112	784
177	2936	2157	779
178	2825	2075	750
179	2929	2075	854
180	3173	2265	908
181	3152	2267	885
182	3074	2185	889
183	2787	1994	793
184	2844	2102	742
185	2993	2187	806
186	2867	2071	796
187	2754	1982	772
188	2848	2081	767
189	3038	2226	812
190	3061	2222	839
191	3041	2135	906
192	3162	2245	917
193	3112	2227	885
194	2929	2107	822
195	2889	2043	846
196	3070	2188	882
197	3115	2218	897
198	2894	2093	801
199	3081	2185	896
200	3107	2236	871
201	3021	2226	795
202	3003	2182	821
203	2912	2061	851
204	3142	2264	878
205	3140	2271	869
206	2977	2110	867
207	2894	2013	881
208	2927	2062	865
209	3096	2238	858
210	3105	2182	923
211	2940	2050	890
212	3196	2293	903
213	3156	2250	906
214	2982	2096	886
215	2905	2020	885
216	3110	2237	873
217	3162	2308	854
218	2938	2053	885
219	2986	2074	912
220	3210	2330	880
221	3201	2292	909
