index	original	background	difference
-----------------------------------------------------
1	4565	2270	2295
2	4319	2116	2203
3	4191	2044	2147
4	4237	2105	2132
5	4195	2099	2096
6	4355	2188	2167
7	4407	2181	2226
8	4415	2211	2204
9	4284	2187	2097
10	4141	2005	2136
11	4136	1971	2165
12	4226	2099	2127
13	4370	2229	2141
14	4423	2194	2229
15	4277	2039	2238
16	4382	2140	2242
17	4425	2176	2249
18	4344	2107	2237
19	4121	1926	2195
20	4193	2002	2191
21	4390	2159	2231
22	4277	2077	2200
23	4241	2013	2228
24	4340	2131	2209
25	4374	2168	2206
26	4270	2058	2212
27	4105	1903	2202
28	4219	1972	2247
29	4323	2072	2251
30	4316	2063	2253
31	4247	1997	2250
32	4345	2089	2256
33	4356	2100	2256
34	4230	2012	2218
35	4376	2087	2289
36	4467	2155	2312
37	4410	2153	2257
38	4279	2068	2211
39	4142	1954	2188
40	4228	2025	2203
41	4336	2114	2222
42	4252	1998	2254
43	4216	1945	2271
44	4358	2051	2307
45	4471	2199	2272
46	4406	2142	2264
47	4300	2041	2259
48	4318	2047	2271
49	4455	2151	2304
50	4447	2186	2261
51	4384	2143	2241
52	4405	2127	2278
53	4571	2234	2337
54	4364	2052	2312
55	4130	1875	2255
56	4394	2058	2336
57	4640	2280	2360
58	4365	2054	2311
59	4244	1922	2322
60	4494	2063	2431
61	4604	2243	2361
62	4500	2164	2336
63	4346	2021	2325
64	4410	2109	2301
65	4500	2182	2318
66	4407	2090	2317
67	4363	1992	2371
68	4399	2051	2348
69	4331	2063	2268
70	4330	1976	2354
71	4439	2063	2376
72	4785	2306	2479
73	4627	2208	2419
74	4342	2047	2295
75	4224	1906	2318
76	4384	2013	2371
77	4571	2144	2427
78	4506	2082	2424
79	4457	2072	2385
80	4544	2128	2416
81	4646	2190	2456
82	4412	2011	2401
83	4445	2009	2436
84	4548	2097	2451
85	4530	2181	2349
86	4461	2098	2363
87	4411	2044	2367
88	4511	2110	2401
89	4603	2187	2416
90	4471	2098	2373
91	4670	2177	2493
92	4772	2279	2493
93	4595	2130	2465
94	4425	2024	2401
95	4364	1960	2404
96	4571	2140	2431
97	4681	2264	2417
98	4534	2123	2411
99	4440	2050	2390
100	4458	2087	2371
101	4581	2148	2433
102	4596	2098	2498
103	4541	2061	2480
104	4727	2265	2462
105	4828	2350	2478
106	4691	2206	2485
107	4513	2063	2450
108	4638	2158	2480
109	4725	2221	2504
110	4553	2111	2442
111	4674	2180	2494
112	4731	2219	2512
113	4604	2120	2484
114	4648	2096	2552
115	4579	2086	2493
116	4656	2138	2518
117	4762	2219	2543
118	4514	2070	2444
119	4445	1995	2450
120	4536	2083	2453
121	4560	2129	2431
122	4559	2053	2506
123	4483	1936	2547
124	4484	2038	2446
125	4581	2099	2482
126	4608	2078	2530
127	4627	2113	2514
128	4916	2384	2532
129	4868	2322	2546
130	4665	2133	2532
131	4547	2017	2530
132	4777	2189	2588
133	4746	2193	2553
134	4562	1992	2570
135	4565	2010	2555
136	4732	2176	2556
137	4868	2223	2645
138	4719	2091	2628
139	4682	2096	2586
140	4587	2061	2526
141	4640	2109	2531
142	4712	2162	2550
143	4691	2085	2606
144	4838	2154	2684
145	4776	2139	2637
146	4725	2160	2565
147	4571	2084	2487
148	4605	2075	2530
149	4811	2253	2558
150	4825	2220	2605
151	4591	2036	2555
152	4763	2212	2551
153	4871	2287	2584
154	4939	2212	2727
155	4851	2156	2695
156	4870	2290	2580
157	4726	2200	2526
158	4569	2042	2527
159	4587	2020	2567
160	4846	2178	2668
161	4875	2231	2644
162	4691	2099	2592
163	4624	2099	2525
164	4917	2268	2649
165	4935	2255	2680
166	4842	2151	2691
167	4717	2068	2649
168	4809	2150	2659
169	4812	2214	2598
170	4738	2131	2607
171	4816	2107	2709
172	4893	2198	2695
173	4920	2230	2690
174	4672	2057	2615
175	4688	2050	2638
176	4713	2112	2601
177	4777	2157	2620
178	4705	2075	2630
179	4724	2075	2649
180	4955	2265	2690
181	4973	2267	2706
182	4911	2185	2726
183	4601	1994	2607
184	4664	2102	2562
185	4807	2187	2620
186	4695	2071	2624
187	4599	1982	2617
188	4737	2081	2656
189	4857	2226	2631
190	4864	2222	2642
191	4874	2135	2739
192	5037	2245	2792
193	4968	2227	2741
194	4706	2107	2599
195	4669	2043	2626
196	4850	2188	2662
197	4964	2218	2746
198	4814	2093	2721
199	4943	2185	2758
200	5011	2236	2775
201	4892	2226	2666
202	4875	2182	2693
203	4730	2061	2669
204	4984	2264	2720
205	5016	2271	2745
206	4874	2110	2764
207	4743	2013	2730
208	4753	2062	2691
209	4966	2238	2728
210	4933	2182	2751
211	4809	2050	2759
212	5090	2293	2797
213	5048	2250	2798
214	4889	2096	2793
215	4691	2020	2671
216	4945	2237	2708
217	5112	2308	2804
218	4864	2053	2811
