index	original	background	difference
-----------------------------------------------------
1	2978	2270	708
2	2766	2116	650
3	2657	2044	613
4	2687	2105	582
5	2661	2099	562
6	2842	2188	654
7	2905	2181	724
8	2911	2211	700
9	2868	2187	681
10	2712	2005	707
11	2592	1971	621
12	2778	2099	679
13	2882	2229	653
14	2844	2194	650
15	2725	2039	686
16	2864	2140	724
17	2892	2176	716
18	2825	2107	718
19	2609	1926	683
20	2699	2002	697
21	2925	2159	766
22	2809	2077	732
23	2722	2013	709
24	2760	2131	629
25	2803	2168	635
26	2730	2058	672
27	2565	1903	662
28	2637	1972	665
29	2736	2072	664
30	2807	2063	744
31	2781	1997	784
32	2843	2089	754
33	2804	2100	704
34	2702	2012	690
35	2841	2087	754
36	2943	2155	788
37	2884	2153	731
38	2740	2068	672
39	2619	1954	665
40	2716	2025	691
41	2803	2114	689
42	2667	1998	669
43	2631	1945	686
44	2782	2051	731
45	2913	2199	714
46	2866	2142	724
47	2789	2041	748
48	2773	2047	726
49	2875	2151	724
50	2904	2186	718
51	2878	2143	735
52	2902	2127	775
53	3027	2234	793
54	2818	2052	766
55	2576	1875	701
56	2822	2058	764
57	3119	2280	839
58	2869	2054	815
59	2676	1922	754
60	2884	2063	821
61	3039	2243	796
62	2931	2164	767
63	2776	2021	755
64	2840	2109	731
65	2963	2182	781
66	2932	2090	842
67	2827	1992	835
68	2814	2051	763
69	2798	2063	735
70	2752	1976	776
71	2818	2063	755
72	3138	2306	832
73	3012	2208	804
74	2786	2047	739
75	2648	1906	742
76	2796	2013	783
77	2921	2144	777
78	2883	2082	801
79	2819	2072	747
80	2899	2128	771
81	3007	2190	817
82	2729	2011	718
83	2794	2009	785
84	2921	2097	824
85	2977	2181	796
86	2822	2098	724
87	2793	2044	749
88	2943	2110	833
89	2984	2187	797
90	2863	2098	765
91	3061	2177	884
92	3137	2279	858
93	2912	2130	782
94	2775	2024	751
95	2753	1960	793
96	2971	2140	831
97	3109	2264	845
98	2984	2123	861
99	2857	2050	807
100	2834	2087	747
101	2899	2148	751
102	2941	2098	843
103	2908	2061	847
104	3105	2265	840
105	3177	2350	827
106	3069	2206	863
107	2934	2063	871
108	2976	2158	818
109	3060	2221	839
110	2893	2111	782
111	3035	2180	855
112	3077	2219	858
113	2954	2120	834
114	2954	2096	858
115	2871	2086	785
116	2945	2138	807
117	3096	2219	877
118	2858	2070	788
119	2816	1995	821
120	2952	2083	869
121	2957	2129	828
122	2884	2053	831
123	2781	1936	845
124	2813	2038	775
125	2906	2099	807
126	2930	2078	852
127	2990	2113	877
128	3312	2384	928
129	3242	2322	920
130	2986	2133	853
131	2848	2017	831
132	3094	2189	905
133	3124	2193	931
134	2885	1992	893
135	2872	2010	862
136	3100	2176	924
137	3161	2223	938
138	3005	2091	914
139	3008	2096	912
140	2990	2061	929
141	3047	2109	938
142	3027	2162	865
143	2968	2085	883
144	3053	2154	899
145	3049	2139	910
146	3130	2160	970
147	3026	2084	942
148	2948	2075	873
149	3110	2253	857
150	3125	2220	905
151	2932	2036	896
152	3179	2212	967
153	3235	2287	948
154	3226	2212	1014
155	3165	2156	1009
156	3210	2290	920
157	3096	2200	896
158	2903	2042	861
159	2905	2020	885
160	3129	2178	951
161	3173	2231	942
162	2995	2099	896
163	3030	2099	931
164	3257	2268	989
165	3234	2255	979
166	3090	2151	939
167	3072	2068	1004
168	3182	2150	1032
169	3155	2214	941
170	3032	2131	901
171	3082	2107	975
172	3186	2198	988
173	3206	2230	976
174	2983	2057	926
175	3009	2050	959
176	3048	2112	936
177	3091	2157	934
178	3017	2075	942
179	3097	2075	1022
180	3335	2265	1070
181	3294	2267	1027
182	3226	2185	1041
183	2985	1994	991
184	3037	2102	935
185	3124	2187	937
186	3013	2071	942
187	2918	1982	936
188	3042	2081	961
189	3217	2226	991
190	3227	2222	1005
191	3203	2135	1068
192	3330	2245	1085
193	3272	2227	1045
194	3052	2107	945
195	3034	2043	991
196	3195	2188	1007
197	3239	2218	1021
198	3077	2093	984
199	3280	2185	1095
200	3350	2236	1114
201	3255	2226	1029
202	3218	2182	1036
203	3050	2061	989
204	3283	2264	1019
205	3272	2271	1001
206	3118	2110	1008
207	3034	2013	1021
208	3097	2062	1035
209	3281	2238	1043
210	3251	2182	1069
211	3085	2050	1035
212	3399	2293	1106
213	3309	2250	1059
214	3138	2096	1042
215	3064	2020	1044
216	3294	2237	1057
217	3337	2308	1029
218	3083	2053	1030
219	3156	2074	1082
220	3411	2330	1081
221	3375	2292	1083
222	3159	2151	1008
223	3138	2054	1084
224	3195	2148	1047
225	3477	2358	1119
226	3220	2141	1079
227	3188	2116	1072
228	3315	2261	1054
229	3396	2321	1075
230	3187	2141	1046
231	3050	2045	1005
232	3241	2205	1036
233	3575	2417	1158
234	3424	2271	1153
235	3188	2104	1084
236	3200	2137	1063
237	3347	2231	1116
238	3202	2143	1059
239	3193	2079	1114
240	3369	2193	1176
241	3548	2361	1187
242	3403	2238	1165
243	3416	2216	1200
244	3395	2226	1169
245	3310	2205	1105
246	3264	2139	1125
247	3231	2074	1157
248	3351	2233	1118
249	3485	2339	1146
250	3399	2195	1204
251	3147	2024	1123
252	3391	2227	1164
253	3408	2252	1156
254	3370	2209	1161
255	3337	2151	1186
256	3325	2214	1111
257	3338	2219	1119
258	3224	2049	1175
259	3161	2031	1130
260	3280	2137	1143
261	3367	2199	1168
262	3494	2243	1251
263	3385	2116	1269
264	3490	2250	1240
265	3406	2173	1233
266	3369	2120	1249
267	3321	2068	1253
268	3532	2285	1247
269	3584	2313	1271
270	3495	2231	1264
271	3588	2311	1277
272	3518	2253	1265
273	3329	2161	1168
274	3308	2123	1185
275	3445	2153	1292
276	3470	2200	1270
277	3433	2155	1278
278	3392	2098	1294
279	3339	2059	1280
280	3379	2124	1255
281	3446	2166	1280
282	3370	2114	1256
283	3347	2120	1227
284	3505	2281	1224
285	3547	2306	1241
286	3367	2075	1292
287	3253	1993	1260
288	3506	2218	1288
289	3669	2354	1315
290	3610	2285	1325
291	3356	2106	1250
292	3445	2144	1301
293	3602	2245	1357
294	3427	2115	1312
295	3337	2044	1293
296	3427	2161	1266
297	3441	2174	1267
298	3428	2122	1306
299	3364	2064	1300
300	3406	2160	1246
301	3438	2216	1222
302	3380	2076	1304
303	3423	2073	1350
304	3511	2175	1336
305	3497	2206	1291
306	3475	2183	1292
307	3401	2109	1292
308	3459	2141	1318
309	3704	2356	1348
310	3498	2144	1354
311	3313	1992	1321
312	3442	2106	1336
313	3566	2237	1329
314	3649	2280	1369
315	3612	2195	1417
316	3602	2240	1362
317	3506	2184	1322
318	3471	2118	1353
319	3507	2118	1389
320	3570	2189	1381
321	3598	2236	1362
322	3654	2205	1449
323	3510	2113	1397
324	3472	2157	1315
325	3630	2204	1426
326	3479	2084	1395
327	3372	2043	1329
328	3599	2243	1356
329	3748	2318	1430
330	3557	2181	1376
331	3401	2031	1370
332	3665	2238	1427
333	4974	2790	2184
334	4248	2433	1815
335	3577	2197	1380
336	3767	2356	1411
337	3750	2323	1427
338	3557	2147	1410
339	3486	2142	1344
340	3585	2240	1345
341	3697	2279	1418
342	3683	2257	1426
343	3616	2169	1447
344	3573	2154	1419
345	3687	2262	1425
346	3755	2242	1513
347	3485	2060	1425
348	3503	2138	1365
349	3675	2195	1480
350	3619	2161	1458
351	3624	2173	1451
352	3838	2417	1421
353	3706	2332	1374
354	3424	2099	1325
355	3486	2095	1391
356	3657	2210	1447
357	3725	2248	1477
358	3640	2193	1447
359	3465	2052	1413
360	3578	2136	1442
361	3656	2230	1426
362	3628	2241	1387
363	3571	2138	1433
364	3540	2126	1414
365	3615	2155	1460
366	3549	2074	1475
367	3432	1984	1448
368	3715	2229	1486
369	3798	2346	1452
370	3662	2246	1416
371	3599	2164	1435
372	3722	2261	1461
373	3757	2278	1479
374	3645	2154	1491
375	3745	2184	1561
376	3790	2259	1531
377	3814	2302	1512
378	3736	2250	1486
379	3598	2097	1501
380	3789	2273	1516
381	3730	2282	1448
382	3706	2205	1501
383	3560	2076	1484
384	3741	2244	1497
385	3878	2311	1567
386	3652	2190	1462
387	3605	2158	1447
388	3850	2340	1510
389	3865	2421	1444
390	3644	2228	1416
391	3576	2169	1407
392	3778	2281	1497
393	3668	2201	1467
394	3615	2274	1341
395	3609	2171	1438
396	3610	2155	1455
397	3714	2205	1509
398	3704	2158	1546
399	3550	2077	1473
400	3757	2225	1532
401	3783	2282	1501
402	3627	2141	1486
403	3662	2110	1552
404	3964	2337	1627
405	3805	2301	1504
406	3920	2399	1521
407	3706	2211	1495
408	3776	2285	1491
409	3712	2216	1496
410	3539	2073	1466
411	3618	2121	1497
412	3680	2209	1471
413	3689	2246	1443
