index	original	background	difference
-----------------------------------------------------
1	3138	2270	868
2	2892	2116	776
3	2756	2044	712
4	2846	2105	741
5	2817	2099	718
6	2968	2188	780
7	3060	2181	879
8	3058	2211	847
9	3007	2187	820
10	2832	2005	827
11	2730	1971	759
12	2864	2099	765
13	3036	2229	807
14	3013	2194	819
15	2858	2039	819
16	2996	2140	856
17	3012	2176	836
18	2928	2107	821
19	2729	1926	803
20	2814	2002	812
21	3035	2159	876
22	2938	2077	861
23	2905	2013	892
24	2976	2131	845
25	2952	2168	784
26	2913	2058	855
27	2746	1903	843
28	2798	1972	826
29	2917	2072	845
30	2939	2063	876
31	2873	1997	876
32	2926	2089	837
33	2933	2100	833
34	2866	2012	854
35	2977	2087	890
36	3056	2155	901
37	3025	2153	872
38	2937	2068	869
39	2774	1954	820
40	2808	2025	783
41	2925	2114	811
42	2798	1998	800
43	2821	1945	876
44	2953	2051	902
45	3142	2199	943
46	3075	2142	933
47	2937	2041	896
48	2886	2047	839
49	3047	2151	896
50	3113	2186	927
51	3046	2143	903
52	3054	2127	927
53	3162	2234	928
54	2975	2052	923
55	2738	1875	863
56	2934	2058	876
57	3216	2280	936
58	2927	2054	873
59	2771	1922	849
60	2985	2063	922
61	3136	2243	893
62	3034	2164	870
63	2871	2021	850
64	2981	2109	872
65	3098	2182	916
66	3030	2090	940
67	2969	1992	977
68	3027	2051	976
69	2924	2063	861
70	2822	1976	846
71	2956	2063	893
72	3302	2306	996
73	3171	2208	963
74	2935	2047	888
75	2750	1906	844
76	2878	2013	865
77	3087	2144	943
78	3025	2082	943
79	2958	2072	886
80	3042	2128	914
81	3129	2190	939
82	2913	2011	902
83	2907	2009	898
84	2993	2097	896
85	3087	2181	906
86	2945	2098	847
87	2897	2044	853
88	3027	2110	917
89	3134	2187	947
90	3026	2098	928
91	3165	2177	988
92	3260	2279	981
93	3078	2130	948
94	2920	2024	896
95	2838	1960	878
96	3049	2140	909
97	3223	2264	959
98	3108	2123	985
99	2973	2050	923
100	2951	2087	864
101	3075	2148	927
102	3120	2098	1022
103	3042	2061	981
104	3255	2265	990
105	3288	2350	938
106	3166	2206	960
107	3000	2063	937
108	3081	2158	923
109	3228	2221	1007
110	3043	2111	932
111	3145	2180	965
112	3194	2219	975
113	3114	2120	994
114	3110	2096	1014
115	3015	2086	929
116	3080	2138	942
117	3210	2219	991
118	2962	2070	892
119	2959	1995	964
120	3027	2083	944
121	3025	2129	896
122	3008	2053	955
123	2902	1936	966
124	2930	2038	892
125	3046	2099	947
126	3076	2078	998
127	3097	2113	984
128	3419	2384	1035
129	3350	2322	1028
130	3101	2133	968
131	2985	2017	968
132	3253	2189	1064
133	3244	2193	1051
134	3034	1992	1042
135	3008	2010	998
136	3121	2176	945
137	3214	2223	991
138	3113	2091	1022
139	3091	2096	995
140	3070	2061	1009
141	3145	2109	1036
142	3180	2162	1018
143	3162	2085	1077
144	3248	2154	1094
145	3208	2139	1069
146	3222	2160	1062
147	3109	2084	1025
148	3064	2075	989
149	3304	2253	1051
150	3274	2220	1054
151	3018	2036	982
152	3231	2212	1019
153	3328	2287	1041
154	3401	2212	1189
155	3241	2156	1085
