index	original	background	difference
-----------------------------------------------------
1	1371	0	1371
2	1382	0	1382
3	1400	0	1400
4	1375	0	1375
5	1357	0	1357
6	1380	0	1380
7	1409	0	1409
8	1389	0	1389
9	1380	0	1380
10	1384	0	1384
11	1380	0	1380
12	1374	0	1374
13	1394	0	1394
14	1397	0	1397
15	1382	0	1382
16	1365	0	1365
17	1397	0	1397
18	1402	0	1402
19	1393	0	1393
20	1393	0	1393
21	1399	0	1399
22	1394	0	1394
23	1389	0	1389
24	1385	0	1385
25	1416	0	1416
26	1414	0	1414
27	1387	0	1387
28	1377	0	1377
29	1397	0	1397
30	1419	0	1419
31	1428	0	1428
32	1377	0	1377
33	1357	0	1357
34	1398	0	1398
35	1409	0	1409
36	1397	0	1397
37	1408	0	1408
38	1399	0	1399
39	1400	0	1400
40	1418	0	1418
41	1434	0	1434
42	1431	0	1431
43	1422	0	1422
44	1409	0	1409
45	1398	0	1398
46	1412	0	1412
47	1414	0	1414
48	1418	0	1418
49	1422	0	1422
50	1435	0	1435
51	1439	0	1439
52	1410	0	1410
53	1394	0	1394
54	1409	0	1409
55	1379	0	1379
56	1376	0	1376
57	1412	0	1412
58	1423	0	1423
59	1399	0	1399
60	1418	0	1418
61	1459	0	1459
62	1474	0	1474
63	1412	0	1412
64	1415	0	1415
65	1452	0	1452
66	1427	0	1427
67	1432	0	1432
68	1404	0	1404
69	1406	0	1406
70	1415	0	1415
71	1445	0	1445
72	1480	0	1480
73	1449	0	1449
74	1443	0	1443
75	1442	0	1442
76	1428	0	1428
77	1414	0	1414
78	1404	0	1404
79	1467	0	1467
80	1487	0	1487
81	1446	0	1446
82	1444	0	1444
83	1430	0	1430
84	1432	0	1432
85	1409	0	1409
86	1452	0	1452
87	1453	0	1453
88	1434	0	1434
89	1416	0	1416
90	1417	0	1417
91	1462	0	1462
92	1454	0	1454
93	1403	0	1403
94	1416	0	1416
95	1450	0	1450
96	1430	0	1430
97	1413	0	1413
98	1440	0	1440
99	1445	0	1445
100	1417	0	1417
101	1410	0	1410
102	1441	0	1441
103	1421	0	1421
104	1446	0	1446
105	1426	0	1426
106	1438	0	1438
107	1459	0	1459
108	1461	0	1461
109	1456	0	1456
110	1447	0	1447
111	1451	0	1451
112	1452	0	1452
113	1430	0	1430
114	1435	0	1435
115	1441	0	1441
116	1448	0	1448
117	1454	0	1454
118	1439	0	1439
119	1403	0	1403
120	1426	0	1426
121	1441	0	1441
122	1451	0	1451
123	1451	0	1451
124	1434	0	1434
125	1445	0	1445
126	1445	0	1445
127	1469	0	1469
128	1473	0	1473
129	1443	0	1443
130	1466	0	1466
131	1439	0	1439
132	1457	0	1457
133	1470	0	1470
134	1446	0	1446
135	1439	0	1439
136	1479	0	1479
137	1457	0	1457
138	1453	0	1453
139	1446	0	1446
140	1434	0	1434
141	1429	0	1429
142	1448	0	1448
143	1485	0	1485
144	1453	0	1453
145	1436	0	1436
146	1456	0	1456
147	1445	0	1445
148	1435	0	1435
149	1461	0	1461
150	1480	0	1480
151	1496	0	1496
152	1470	0	1470
153	1433	0	1433
154	1491	0	1491
155	1503	0	1503
156	1475	0	1475
157	1423	0	1423
158	1426	0	1426
159	1445	0	1445
160	1445	0	1445
161	1446	0	1446
162	1440	0	1440
163	1474	0	1474
164	1485	0	1485
165	1468	0	1468
166	1485	0	1485
167	1473	0	1473
168	1464	0	1464
169	1473	0	1473
170	1476	0	1476
171	1474	0	1474
172	1483	0	1483
173	1468	0	1468
174	1460	0	1460
175	1500	0	1500
176	1484	0	1484
177	1492	0	1492
178	1493	0	1493
179	1506	0	1506
180	1509	0	1509
181	1441	0	1441
182	1464	0	1464
183	1439	0	1439
184	1445	0	1445
185	1471	0	1471
186	1459	0	1459
187	1479	0	1479
188	1474	0	1474
189	1450	0	1450
190	1438	0	1438
191	1452	0	1452
192	1490	0	1490
193	1482	0	1482
194	1472	0	1472
195	1469	0	1469
196	1471	0	1471
197	1456	0	1456
198	1485	0	1485
199	1498	0	1498
200	1474	0	1474
201	1466	0	1466
202	1461	0	1461
203	1433	0	1433
204	1473	0	1473
205	1505	0	1505
206	1474	0	1474
207	1474	0	1474
208	1462	0	1462
209	1466	0	1466
210	1461	0	1461
211	1450	0	1450
212	1488	0	1488
213	1488	0	1488
214	1487	0	1487
215	1484	0	1484
216	1487	0	1487
217	1482	0	1482
218	1477	0	1477
219	1521	0	1521
220	1481	0	1481
221	1447	0	1447
222	1468	0	1468
223	1508	0	1508
224	1509	0	1509
225	1505	0	1505
226	1460	0	1460
227	1449	0	1449
228	1469	0	1469
229	1498	0	1498
230	1515	0	1515
231	1499	0	1499
232	1505	0	1505
233	1515	0	1515
234	1490	0	1490
235	1498	0	1498
236	1488	0	1488
237	1486	0	1486
238	1513	0	1513
239	1519	0	1519
240	1513	0	1513
241	1537	0	1537
242	1526	0	1526
243	1521	0	1521
244	1537	0	1537
245	1514	0	1514
246	1506	0	1506
247	1525	0	1525
248	1541	0	1541
249	1522	0	1522
250	1502	0	1502
251	1499	0	1499
252	1491	0	1491
253	1488	0	1488
254	1511	0	1511
255	1545	0	1545
256	1522	0	1522
257	1517	0	1517
258	1516	0	1516
259	1507	0	1507
260	1501	0	1501
261	1488	0	1488
262	1548	0	1548
263	1544	0	1544
264	1528	0	1528
265	1516	0	1516
266	1529	0	1529
267	1524	0	1524
268	1547	0	1547
269	1535	0	1535
270	1544	0	1544
271	1546	0	1546
272	1494	0	1494
273	1508	0	1508
274	1568	0	1568
275	1541	0	1541
276	1545	0	1545
277	1535	0	1535
278	1519	0	1519
279	1530	0	1530
280	1524	0	1524
281	1508	0	1508
282	1507	0	1507
283	1528	0	1528
284	1518	0	1518
285	1540	0	1540
286	1544	0	1544
287	1503	0	1503
288	1503	0	1503
289	1550	0	1550
290	1561	0	1561
291	1512	0	1512
292	1530	0	1530
293	1532	0	1532
294	1494	0	1494
295	1503	0	1503
296	1522	0	1522
297	1529	0	1529
298	1554	0	1554
299	1568	0	1568
300	1549	0	1549
301	1510	0	1510
302	1508	0	1508
303	1526	0	1526
304	1520	0	1520
305	1521	0	1521
306	1546	0	1546
307	1533	0	1533
308	1504	0	1504
309	1514	0	1514
310	1495	0	1495
311	1510	0	1510
312	1491	0	1491
313	1497	0	1497
314	1523	0	1523
315	1525	0	1525
316	1525	0	1525
317	1547	0	1547
318	1529	0	1529
319	1517	0	1517
320	1554	0	1554
321	1502	0	1502
322	1522	0	1522
323	1494	0	1494
324	1480	0	1480
325	1515	0	1515
326	1539	0	1539
327	1547	0	1547
328	1526	0	1526
329	1506	0	1506
330	1527	0	1527
331	1506	0	1506
332	1522	0	1522
333	1583	0	1583
334	1565	0	1565
335	1564	0	1564
336	1527	0	1527
337	1521	0	1521
338	1545	0	1545
339	1566	0	1566
340	1541	0	1541
341	1533	0	1533
342	1554	0	1554
343	1539	0	1539
344	1540	0	1540
345	1532	0	1532
346	1514	0	1514
347	1503	0	1503
348	1520	0	1520
349	1530	0	1530
350	1501	0	1501
351	1474	0	1474
352	1493	0	1493
353	1508	0	1508
354	1500	0	1500
355	1518	0	1518
356	1519	0	1519
357	1488	0	1488
358	1507	0	1507
359	1511	0	1511
360	1518	0	1518
361	1500	0	1500
362	1514	0	1514
363	1543	0	1543
364	1494	0	1494
365	1507	0	1507
366	1531	0	1531
367	1492	0	1492
368	1511	0	1511
369	1532	0	1532
370	1536	0	1536
371	1543	0	1543
372	1538	0	1538
373	1502	0	1502
374	1532	0	1532
375	1530	0	1530
376	1544	0	1544
377	1553	0	1553
378	1524	0	1524
379	1517	0	1517
380	1530	0	1530
381	1509	0	1509
382	1522	0	1522
383	1529	0	1529
384	1510	0	1510
385	1495	0	1495
386	1541	0	1541
387	1553	0	1553
388	1546	0	1546
389	1526	0	1526
390	1565	0	1565
391	1555	0	1555
392	1528	0	1528
393	1532	0	1532
394	1543	0	1543
395	1546	0	1546
396	1515	0	1515
397	1514	0	1514
398	1548	0	1548
399	1535	0	1535
400	1518	0	1518
401	1529	0	1529
402	1529	0	1529
403	1517	0	1517
404	1514	0	1514
405	1510	0	1510
406	1560	0	1560
407	1569	0	1569
408	1573	0	1573
409	1529	0	1529
410	1532	0	1532
411	1562	0	1562
412	1521	0	1521
413	1523	0	1523
414	1537	0	1537
415	1545	0	1545
416	1530	0	1530
417	1514	0	1514
418	1512	0	1512
419	1507	0	1507
420	1522	0	1522
421	1525	0	1525
422	1542	0	1542
423	1555	0	1555
424	1532	0	1532
425	1518	0	1518
426	1537	0	1537
427	1569	0	1569
428	1531	0	1531
429	1530	0	1530
430	1520	0	1520
431	1508	0	1508
432	1530	0	1530
433	1524	0	1524
434	1505	0	1505
435	1527	0	1527
436	1554	0	1554
437	1531	0	1531
438	1532	0	1532
439	1563	0	1563
440	1563	0	1563
441	1544	0	1544
442	1551	0	1551
443	1578	0	1578
444	1542	0	1542
445	1527	0	1527
446	1537	0	1537
447	1545	0	1545
448	1551	0	1551
449	1568	0	1568
450	1550	0	1550
451	1537	0	1537
452	1547	0	1547
453	1530	0	1530
454	1545	0	1545
455	1541	0	1541
456	1537	0	1537
457	1543	0	1543
458	1535	0	1535
459	1567	0	1567
460	1613	0	1613
461	1574	0	1574
462	1528	0	1528
463	1536	0	1536
464	1529	0	1529
465	1532	0	1532
466	1537	0	1537
467	1542	0	1542
468	1566	0	1566
469	1577	0	1577
470	1573	0	1573
471	1551	0	1551
472	1535	0	1535
473	1541	0	1541
474	1547	0	1547
475	1526	0	1526
476	1541	0	1541
477	1543	0	1543
478	1551	0	1551
479	1534	0	1534
480	1549	0	1549
481	1552	0	1552
482	1541	0	1541
483	1564	0	1564
484	1554	0	1554
485	1511	0	1511
486	1531	0	1531
487	1520	0	1520
488	1535	0	1535
489	1555	0	1555
490	1530	0	1530
491	1488	0	1488
492	1520	0	1520
493	1520	0	1520
494	1519	0	1519
495	1508	0	1508
496	1494	0	1494
497	1508	0	1508
498	1532	0	1532
499	1535	0	1535
500	1530	0	1530
501	1546	0	1546
502	1547	0	1547
503	1544	0	1544
504	1529	0	1529
505	1544	0	1544
506	1555	0	1555
507	1546	0	1546
508	1567	0	1567
509	1556	0	1556
510	1512	0	1512
511	1521	0	1521
512	1556	0	1556
513	1532	0	1532
514	1539	0	1539
515	1572	0	1572
516	1539	0	1539
517	1522	0	1522
518	1534	0	1534
519	1538	0	1538
520	1551	0	1551
521	1520	0	1520
522	1524	0	1524
523	1563	0	1563
524	1567	0	1567
525	1634	0	1634
526	1562	0	1562
527	1539	0	1539
528	1534	0	1534
529	1531	0	1531
530	1570	0	1570
531	1539	0	1539
532	1516	0	1516
533	1527	0	1527
534	1561	0	1561
535	1583	0	1583
536	1573	0	1573
537	1524	0	1524
538	1506	0	1506
539	1520	0	1520
540	1514	0	1514
541	1545	0	1545
542	1529	0	1529
543	1516	0	1516
544	1570	0	1570
545	1567	0	1567
546	1539	0	1539
547	1540	0	1540
548	1525	0	1525
549	1544	0	1544
550	1520	0	1520
551	1521	0	1521
552	1545	0	1545
553	1540	0	1540
554	1548	0	1548
555	1539	0	1539
556	1545	0	1545
557	1564	0	1564
558	1561	0	1561
559	1552	0	1552
560	1519	0	1519
561	1563	0	1563
562	1554	0	1554
563	1516	0	1516
564	1526	0	1526
565	1526	0	1526
566	1518	0	1518
567	1550	0	1550
568	1582	0	1582
569	1565	0	1565
570	1562	0	1562
571	1544	0	1544
572	1527	0	1527
573	1531	0	1531
574	1564	0	1564
575	1527	0	1527
576	1522	0	1522
577	1517	0	1517
578	1550	0	1550
579	1548	0	1548
580	1514	0	1514
581	1507	0	1507
582	1507	0	1507
583	1510	0	1510
584	1514	0	1514
585	1513	0	1513
586	1553	0	1553
587	1522	0	1522
588	1518	0	1518
589	1539	0	1539
590	1536	0	1536
591	1497	0	1497
592	1509	0	1509
593	1534	0	1534
594	1501	0	1501
595	1537	0	1537
596	1535	0	1535
597	1541	0	1541
598	1582	0	1582
599	1545	0	1545
600	1515	0	1515
601	1520	0	1520
602	1539	0	1539
603	1522	0	1522
604	1534	0	1534
605	1529	0	1529
606	1532	0	1532
607	1564	0	1564
608	1571	0	1571
609	1540	0	1540
610	1543	0	1543
611	1562	0	1562
612	1539	0	1539
613	1530	0	1530
614	1546	0	1546
615	1532	0	1532
616	1522	0	1522
617	1542	0	1542
618	1540	0	1540
619	1530	0	1530
620	1544	0	1544
621	1537	0	1537
622	1537	0	1537
623	1558	0	1558
624	1557	0	1557
625	1538	0	1538
626	1540	0	1540
627	1530	0	1530
628	1530	0	1530
629	1532	0	1532
630	1570	0	1570
631	1533	0	1533
632	1539	0	1539
633	1571	0	1571
634	1592	0	1592
635	1556	0	1556
636	1556	0	1556
637	1542	0	1542
638	1537	0	1537
639	1546	0	1546
640	1553	0	1553
641	1542	0	1542
642	1550	0	1550
643	1576	0	1576
644	1564	0	1564
645	1578	0	1578
646	1618	0	1618
647	1593	0	1593
648	1583	0	1583
649	1559	0	1559
650	1557	0	1557
651	1564	0	1564
652	1592	0	1592
653	1561	0	1561
654	1563	0	1563
655	1540	0	1540
656	1515	0	1515
657	1512	0	1512
658	1569	0	1569
659	1592	0	1592
660	1579	0	1579
661	1567	0	1567
662	1557	0	1557
663	1571	0	1571
664	1575	0	1575
665	1578	0	1578
666	1546	0	1546
667	1551	0	1551
668	1545	0	1545
669	1549	0	1549
670	1552	0	1552
671	1546	0	1546
672	1552	0	1552
673	1570	0	1570
674	1580	0	1580
675	1582	0	1582
676	1585	0	1585
677	1598	0	1598
678	1601	0	1601
679	1581	0	1581
680	1555	0	1555
681	1540	0	1540
682	1575	0	1575
683	1553	0	1553
684	1575	0	1575
685	1608	0	1608
686	1596	0	1596
687	1614	0	1614
688	1555	0	1555
689	1576	0	1576
690	1618	0	1618
691	1624	0	1624
692	1583	0	1583
693	1602	0	1602
