Nov. 18, 2020   13:46:11
Cyclic Voltammetry
File: c:\documents and settings\administrator\×ÀÃæ\wyz\empty01.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.15
Low E (V) = -0.28
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:
Ep = 0.420V
ip = 1.666e-6A
Ah = 1.451e-6C

Ep = -0.275V
ip = 1.035e-6A
Ah = 8.468e-7C

Segment 3:
Ep = 1.145V
ip = -5.086e-8A
Ah = -1.641e-8C

Segment 4:
Ep = 0.420V
ip = 1.720e-6A
Ah = 1.599e-6C

Segment 5:
Ep = 1.145V
ip = -3.585e-8A
Ah = -8.030e-9C

Segment 6:
Ep = 0.425V
ip = 1.898e-6A
Ah = 1.662e-6C

Segment 7:

Segment 8:
Ep = 0.425V
ip = 1.926e-6A
Ah = 1.723e-6C

Segment 9:
Ep = 1.145V
ip = -7.337e-8A
Ah = -2.507e-8C

Segment 10:
Ep = 0.425V
ip = 1.898e-6A
Ah = 1.696e-6C

Potential/V, Current/A, Charge/C

Segment 1:
0.655, -7.619e-7, -3.809e-8
0.660, -7.806e-7, -7.712e-8
0.665, -8.038e-7, -1.173e-7
0.670, -8.289e-7, -1.588e-7
0.675, -8.580e-7, -2.017e-7
0.680, -8.910e-7, -2.462e-7
0.685, -9.297e-7, -2.927e-7
0.690, -9.609e-7, -3.407e-7
0.695, -9.985e-7, -3.907e-7
0.700, -1.033e-6, -4.423e-7
0.705, -1.067e-6, -4.957e-7
0.710, -1.101e-6, -5.507e-7
0.715, -1.140e-6, -6.077e-7
0.720, -1.166e-6, -6.660e-7
0.725, -1.199e-6, -7.260e-7
0.730, -1.228e-6, -7.874e-7
0.735, -1.253e-6, -8.500e-7
0.740, -1.283e-6, -9.142e-7
0.745, -1.310e-6, -9.797e-7
0.750, -1.337e-6, -1.047e-6
0.755, -1.356e-6, -1.114e-6
0.760, -1.381e-6, -1.183e-6
0.765, -1.399e-6, -1.253e-6
0.770, -1.420e-6, -1.324e-6
0.775, -1.441e-6, -1.396e-6
0.780, -1.458e-6, -1.469e-6
0.785, -1.482e-6, -1.543e-6
0.790, -1.495e-6, -1.618e-6
0.795, -1.515e-6, -1.694e-6
0.800, -1.532e-6, -1.770e-6
0.805, -1.545e-6, -1.848e-6
0.810, -1.561e-6, -1.926e-6
0.815, -1.582e-6, -2.005e-6
0.820, -1.590e-6, -2.084e-6
0.825, -1.610e-6, -2.165e-6
0.830, -1.629e-6, -2.246e-6
0.835, -1.641e-6, -2.328e-6
0.840, -1.659e-6, -2.411e-6
0.845, -1.682e-6, -2.495e-6
0.850, -1.703e-6, -2.581e-6
0.855, -1.726e-6, -2.667e-6
0.860, -1.741e-6, -2.754e-6
0.865, -1.764e-6, -2.842e-6
0.870, -1.781e-6, -2.931e-6
0.875, -1.798e-6, -3.021e-6
0.880, -1.818e-6, -3.112e-6
0.885, -1.834e-6, -3.204e-6
0.890, -1.855e-6, -3.296e-6
0.895, -1.878e-6, -3.390e-6
0.900, -1.892e-6, -3.485e-6
0.905, -1.916e-6, -3.581e-6
0.910, -1.929e-6, -3.677e-6
0.915, -1.950e-6, -3.775e-6
0.920, -1.974e-6, -3.873e-6
0.925, -1.992e-6, -3.973e-6
0.930, -2.015e-6, -4.074e-6
0.935, -2.032e-6, -4.175e-6
0.940, -2.053e-6, -4.278e-6
0.945, -2.079e-6, -4.382e-6
0.950, -2.103e-6, -4.487e-6
0.955, -2.118e-6, -4.593e-6
0.960, -2.136e-6, -4.700e-6
0.965, -2.163e-6, -4.808e-6
0.970, -2.180e-6, -4.917e-6
0.975, -2.205e-6, -5.027e-6
0.980, -2.222e-6, -5.138e-6
0.985, -2.246e-6, -5.251e-6
0.990, -2.267e-6, -5.364e-6
0.995, -2.287e-6, -5.478e-6
1.000, -2.308e-6, -5.594e-6
1.005, -2.325e-6, -5.710e-6
1.010, -2.346e-6, -5.827e-6
1.015, -2.367e-6, -5.946e-6
1.020, -2.386e-6, -6.065e-6
1.025, -2.407e-6, -6.185e-6
1.030, -2.421e-6, -6.306e-6
1.035, -2.440e-6, -6.428e-6
1.040, -2.461e-6, -6.551e-6
1.045, -2.480e-6, -6.675e-6
1.050, -2.498e-6, -6.800e-6
1.055, -2.510e-6, -6.926e-6
1.060, -2.522e-6, -7.052e-6
1.065, -2.540e-6, -7.179e-6
1.070, -2.556e-6, -7.307e-6
1.075, -2.568e-6, -7.435e-6
1.080, -2.581e-6, -7.564e-6
1.085, -2.597e-6, -7.694e-6
1.090, -2.608e-6, -7.824e-6
1.095, -2.619e-6, -7.955e-6
1.100, -2.631e-6, -8.087e-6
1.105, -2.645e-6, -8.219e-6
1.110, -2.655e-6, -8.352e-6
1.115, -2.665e-6, -8.485e-6
1.120, -2.672e-6, -8.619e-6
1.125, -2.686e-6, -8.753e-6
1.130, -2.694e-6, -8.888e-6
1.135, -2.704e-6, -9.023e-6
1.140, -2.710e-6, -9.159e-6
1.145, -2.721e-6, -9.295e-6
1.150, -2.448e-6, -9.417e-6

Segment 2:
1.145, -2.012e-6, -9.518e-6
1.140, -1.691e-6, -9.602e-6
1.135, -1.440e-6, -9.674e-6
1.130, -1.242e-6, -9.736e-6
1.125, -1.084e-6, -9.790e-6
1.120, -9.483e-7, -9.838e-6
1.115, -8.376e-7, -9.880e-6
1.110, -7.431e-7, -9.917e-6
1.105, -6.598e-7, -9.950e-6
1.100, -5.874e-7, -9.979e-6
1.095, -5.253e-7, -1.001e-5
1.090, -4.726e-7, -1.003e-5
1.085, -4.251e-7, -1.005e-5
1.080, -3.811e-7, -1.007e-5
1.075, -3.468e-7, -1.009e-5
1.070, -3.139e-7, -1.010e-5
1.065, -2.825e-7, -1.012e-5
1.060, -2.528e-7, -1.013e-5
1.055, -2.321e-7, -1.014e-5
1.050, -2.075e-7, -1.015e-5
1.045, -1.876e-7, -1.016e-5
1.040, -1.695e-7, -1.017e-5
1.035, -1.551e-7, -1.018e-5
1.030, -1.421e-7, -1.018e-5
1.025, -1.238e-7, -1.019e-5
1.020, -1.116e-7, -1.020e-5
1.015, -9.721e-8, -1.020e-5
1.010, -8.555e-8, -1.020e-5
1.005, -7.552e-8, -1.021e-5
1.000, -5.987e-8, -1.021e-5
0.995, -5.054e-8, -1.021e-5
0.990, -3.655e-8, -1.022e-5
0.985, -3.013e-8, -1.022e-5
0.980, -1.886e-8, -1.022e-5
0.975, -1.350e-8, -1.022e-5
0.970, -3.496e-9, -1.022e-5
0.965, 6.271e-10, -1.022e-5
0.960, 8.907e-9, -1.022e-5
0.955, 1.375e-8, -1.022e-5
0.950, 2.087e-8, -1.022e-5
0.945, 2.583e-8, -1.022e-5
0.940, 3.436e-8, -1.021e-5
0.935, 3.671e-8, -1.021e-5
0.930, 4.604e-8, -1.021e-5
0.925, 4.826e-8, -1.021e-5
0.920, 5.597e-8, -1.020e-5
0.915, 5.895e-8, -1.020e-5
0.910, 6.580e-8, -1.020e-5
0.905, 6.958e-8, -1.019e-5
0.900, 7.673e-8, -1.019e-5
0.895, 8.078e-8, -1.019e-5
0.890, 8.811e-8, -1.018e-5
0.885, 8.998e-8, -1.018e-5
0.880, 9.793e-8, -1.017e-5
0.875, 1.003e-7, -1.017e-5
0.870, 1.072e-7, -1.016e-5
0.865, 1.112e-7, -1.016e-5
0.860, 1.161e-7, -1.015e-5
0.855, 1.223e-7, -1.015e-5
0.850, 1.286e-7, -1.014e-5
0.845, 1.330e-7, -1.013e-5
0.840, 1.398e-7, -1.013e-5
0.835, 1.410e-7, -1.012e-5
0.830, 1.496e-7, -1.011e-5
0.825, 1.512e-7, -1.010e-5
0.820, 1.567e-7, -1.010e-5
0.815, 1.638e-7, -1.009e-5
0.810, 1.709e-7, -1.008e-5
0.805, 1.773e-7, -1.007e-5
0.800, 1.839e-7, -1.006e-5
0.795, 1.886e-7, -1.005e-5
0.790, 1.959e-7, -1.004e-5
0.785, 1.995e-7, -1.003e-5
0.780, 2.073e-7, -1.002e-5
0.775, 2.140e-7, -1.001e-5
0.770, 2.225e-7, -9.999e-6
0.765, 2.300e-7, -9.988e-6
0.760, 2.391e-7, -9.976e-6
0.755, 2.447e-7, -9.964e-6
0.750, 2.530e-7, -9.951e-6
0.745, 2.621e-7, -9.938e-6
0.740, 2.693e-7, -9.924e-6
0.735, 2.787e-7, -9.910e-6
0.730, 2.851e-7, -9.896e-6
0.725, 2.922e-7, -9.882e-6
0.720, 3.027e-7, -9.866e-6
0.715, 3.114e-7, -9.851e-6
0.710, 3.255e-7, -9.835e-6
0.705, 3.336e-7, -9.818e-6
0.700, 3.450e-7, -9.801e-6
0.695, 3.546e-7, -9.783e-6
0.690, 3.704e-7, -9.764e-6
0.685, 3.821e-7, -9.745e-6
0.680, 3.933e-7, -9.726e-6
0.675, 4.039e-7, -9.705e-6
0.670, 4.230e-7, -9.684e-6
0.665, 4.353e-7, -9.663e-6
0.660, 4.513e-7, -9.640e-6
0.655, 4.680e-7, -9.617e-6
0.650, 4.854e-7, -9.592e-6
0.645, 4.962e-7, -9.567e-6
0.640, 5.209e-7, -9.541e-6
0.635, 5.360e-7, -9.515e-6
0.630, 5.578e-7, -9.487e-6
0.625, 5.797e-7, -9.458e-6
0.620, 6.018e-7, -9.428e-6
0.615, 6.279e-7, -9.396e-6
0.610, 6.510e-7, -9.364e-6
0.605, 6.746e-7, -9.330e-6
0.600, 7.016e-7, -9.295e-6
0.595, 7.304e-7, -9.258e-6
