Nov. 18, 2020   13:48:02
Cyclic Voltammetry
File: c:\documents and settings\administrator\×ÀÃæ\wyz\empty02.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.15
Low E (V) = -0.28
Init P/N = P
Scan Rate (V/s) = 0.2
Segment = 10
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:
Ep = 0.415V
ip = 2.987e-6A
Ah = 1.310e-6C

Segment 3:

Segment 4:
Ep = 0.415V
ip = 3.319e-6A
Ah = 1.521e-6C

Segment 5:

Segment 6:
Ep = 0.415V
ip = 3.432e-6A
Ah = 1.602e-6C

Ep = -0.245V
ip = 2.439e-6A
Ah = 7.292e-7C

Segment 7:

Segment 8:
Ep = 0.415V
ip = 3.450e-6A
Ah = 1.610e-6C

Ep = -0.245V
ip = 2.539e-6A
Ah = 7.852e-7C

Segment 9:

Segment 10:
Ep = 0.415V
ip = 3.675e-6A
Ah = 1.692e-6C

Ep = -0.235V
ip = 2.584e-6A
Ah = 6.605e-7C

Potential/V, Current/A, Charge/C

Segment 1:
0.655, -6.995e-7, -1.749e-8
0.660, -7.777e-7, -3.693e-8
0.665, -8.434e-7, -5.802e-8
0.670, -9.273e-7, -8.120e-8
0.675, -1.006e-6, -1.063e-7
0.680, -1.092e-6, -1.336e-7
0.685, -1.177e-6, -1.631e-7
0.690, -1.279e-6, -1.951e-7
0.695, -1.371e-6, -2.293e-7
0.700, -1.472e-6, -2.661e-7
0.705, -1.562e-6, -3.052e-7
0.710, -1.665e-6, -3.468e-7
0.715, -1.767e-6, -3.910e-7
0.720, -1.858e-6, -4.374e-7
0.725, -1.939e-6, -4.859e-7
0.730, -2.030e-6, -5.366e-7
0.735, -2.100e-6, -5.891e-7
0.740, -2.175e-6, -6.435e-7
0.745, -2.244e-6, -6.996e-7
0.750, -2.311e-6, -7.574e-7
0.755, -2.365e-6, -8.165e-7
0.760, -2.423e-6, -8.771e-7
0.765, -2.470e-6, -9.388e-7
0.770, -2.519e-6, -1.002e-6
0.775, -2.567e-6, -1.066e-6
0.780, -2.609e-6, -1.131e-6
0.785, -2.647e-6, -1.197e-6
0.790, -2.690e-6, -1.265e-6
0.795, -2.723e-6, -1.333e-6
0.800, -2.759e-6, -1.402e-6
0.805, -2.788e-6, -1.471e-6
0.810, -2.826e-6, -1.542e-6
0.815, -2.857e-6, -1.613e-6
0.820, -2.883e-6, -1.686e-6
0.825, -2.913e-6, -1.758e-6
0.830, -2.941e-6, -1.832e-6
0.835, -2.967e-6, -1.906e-6
0.840, -3.001e-6, -1.981e-6
0.845, -3.031e-6, -2.057e-6
0.850, -3.061e-6, -2.133e-6
0.855, -3.088e-6, -2.211e-6
0.860, -3.119e-6, -2.289e-6
0.865, -3.147e-6, -2.367e-6
0.870, -3.177e-6, -2.447e-6
0.875, -3.209e-6, -2.527e-6
0.880, -3.234e-6, -2.608e-6
0.885, -3.270e-6, -2.689e-6
0.890, -3.297e-6, -2.772e-6
0.895, -3.334e-6, -2.855e-6
0.900, -3.367e-6, -2.939e-6
0.905, -3.399e-6, -3.024e-6
0.910, -3.434e-6, -3.110e-6
0.915, -3.464e-6, -3.197e-6
0.920, -3.498e-6, -3.284e-6
0.925, -3.528e-6, -3.372e-6
0.930, -3.565e-6, -3.462e-6
0.935, -3.597e-6, -3.552e-6
0.940, -3.631e-6, -3.642e-6
0.945, -3.670e-6, -3.734e-6
0.950, -3.701e-6, -3.827e-6
0.955, -3.735e-6, -3.920e-6
0.960, -3.771e-6, -4.014e-6
0.965, -3.804e-6, -4.109e-6
0.970, -3.839e-6, -4.205e-6
0.975, -3.871e-6, -4.302e-6
0.980, -3.910e-6, -4.400e-6
0.985, -3.942e-6, -4.498e-6
0.990, -3.984e-6, -4.598e-6
0.995, -4.017e-6, -4.698e-6
1.000, -4.053e-6, -4.800e-6
1.005, -4.086e-6, -4.902e-6
1.010, -4.122e-6, -5.005e-6
1.015, -4.154e-6, -5.109e-6
1.020, -4.193e-6, -5.214e-6
1.025, -4.223e-6, -5.319e-6
1.030, -4.262e-6, -5.426e-6
1.035, -4.288e-6, -5.533e-6
1.040, -4.323e-6, -5.641e-6
1.045, -4.351e-6, -5.750e-6
1.050, -4.386e-6, -5.859e-6
1.055, -4.415e-6, -5.970e-6
1.060, -4.448e-6, -6.081e-6
1.065, -4.473e-6, -6.193e-6
1.070, -4.505e-6, -6.305e-6
1.075, -4.527e-6, -6.419e-6
1.080, -4.557e-6, -6.533e-6
1.085, -4.579e-6, -6.647e-6
1.090, -4.612e-6, -6.762e-6
1.095, -4.636e-6, -6.878e-6
1.100, -4.662e-6, -6.995e-6
1.105, -4.681e-6, -7.112e-6
1.110, -4.709e-6, -7.230e-6
1.115, -4.729e-6, -7.348e-6
1.120, -4.753e-6, -7.467e-6
1.125, -4.773e-6, -7.586e-6
1.130, -4.802e-6, -7.706e-6
1.135, -4.823e-6, -7.827e-6
1.140, -4.850e-6, -7.948e-6
1.145, -4.867e-6, -8.069e-6
1.150, -4.306e-6, -8.177e-6

Segment 2:
1.145, -3.536e-6, -8.266e-6
1.140, -2.986e-6, -8.340e-6
1.135, -2.546e-6, -8.404e-6
1.130, -2.206e-6, -8.459e-6
1.125, -1.912e-6, -8.507e-6
1.120, -1.671e-6, -8.549e-6
1.115, -1.460e-6, -8.585e-6
1.110, -1.294e-6, -8.617e-6
1.105, -1.145e-6, -8.646e-6
1.100, -1.021e-6, -8.672e-6
1.095, -9.076e-7, -8.694e-6
1.090, -8.152e-7, -8.715e-6
1.085, -7.239e-7, -8.733e-6
1.080, -6.530e-7, -8.749e-6
1.075, -5.843e-7, -8.764e-6
1.070, -5.258e-7, -8.777e-6
1.065, -4.722e-7, -8.789e-6
1.060, -4.251e-7, -8.799e-6
1.055, -3.747e-7, -8.809e-6
1.050, -3.448e-7, -8.817e-6
1.045, -3.070e-7, -8.825e-6
1.040, -2.738e-7, -8.832e-6
1.035, -2.340e-7, -8.838e-6
1.030, -2.151e-7, -8.843e-6
1.025, -1.814e-7, -8.848e-6
1.020, -1.674e-7, -8.852e-6
1.015, -1.434e-7, -8.855e-6
1.010, -1.230e-7, -8.858e-6
1.005, -1.088e-7, -8.861e-6
1.000, -7.429e-8, -8.863e-6
0.995, -5.884e-8, -8.864e-6
0.990, -4.325e-8, -8.866e-6
0.985, -2.473e-8, -8.866e-6
0.980, -1.088e-8, -8.866e-6
0.975, 9.277e-9, -8.866e-6
0.970, 1.589e-8, -8.866e-6
0.965, 2.901e-8, -8.865e-6
0.960, 3.922e-8, -8.864e-6
0.955, 5.950e-8, -8.863e-6
0.950, 6.495e-8, -8.861e-6
0.945, 7.598e-8, -8.859e-6
0.940, 8.576e-8, -8.857e-6
0.935, 1.006e-7, -8.854e-6
0.930, 1.079e-7, -8.852e-6
0.925, 1.190e-7, -8.849e-6
0.920, 1.274e-7, -8.846e-6
0.915, 1.375e-7, -8.842e-6
0.910, 1.464e-7, -8.838e-6
0.905, 1.602e-7, -8.834e-6
0.900, 1.642e-7, -8.830e-6
0.895, 1.736e-7, -8.826e-6
0.890, 1.794e-7, -8.822e-6
0.885, 1.937e-7, -8.817e-6
0.880, 2.001e-7, -8.812e-6
0.875, 2.145e-7, -8.806e-6
0.870, 2.180e-7, -8.801e-6
0.865, 2.314e-7, -8.795e-6
0.860, 2.363e-7, -8.789e-6
0.855, 2.493e-7, -8.783e-6
0.850, 2.608e-7, -8.776e-6
0.845, 2.656e-7, -8.770e-6
0.840, 2.774e-7, -8.763e-6
0.835, 2.888e-7, -8.756e-6
0.830, 2.948e-7, -8.748e-6
0.825, 3.054e-7, -8.741e-6
0.820, 3.121e-7, -8.733e-6
0.815, 3.227e-7, -8.725e-6
0.810, 3.313e-7, -8.716e-6
0.805, 3.484e-7, -8.708e-6
0.800, 3.554e-7, -8.699e-6
0.795, 3.693e-7, -8.690e-6
0.790, 3.754e-7, -8.680e-6
0.785, 3.943e-7, -8.670e-6
0.780, 4.047e-7, -8.660e-6
0.775, 4.168e-7, -8.650e-6
0.770, 4.240e-7, -8.639e-6
0.765, 4.472e-7, -8.628e-6
0.760, 4.551e-7, -8.617e-6
0.755, 4.685e-7, -8.605e-6
0.750, 4.812e-7, -8.593e-6
0.745, 5.033e-7, -8.580e-6
0.740, 5.145e-7, -8.568e-6
0.735, 5.308e-7, -8.554e-6
0.730, 5.450e-7, -8.541e-6
0.725, 5.618e-7, -8.527e-6
0.720, 5.801e-7, -8.512e-6
0.715, 6.044e-7, -8.497e-6
0.710, 6.145e-7, -8.482e-6
0.705, 6.424e-7, -8.466e-6
0.700, 6.583e-7, -8.449e-6
0.695, 6.834e-7, -8.432e-6
0.690, 6.990e-7, -8.415e-6
0.685, 7.216e-7, -8.397e-6
0.680, 7.440e-7, -8.378e-6
0.675, 7.698e-7, -8.359e-6
0.670, 7.961e-7, -8.339e-6
0.665, 8.258e-7, -8.318e-6
0.660, 8.526e-7, -8.297e-6
0.655, 8.842e-7, -8.275e-6
0.650, 9.058e-7, -8.252e-6
0.645, 9.443e-7, -8.228e-6
0.640, 9.725e-7, -8.204e-6
0.635, 1.008e-6, -8.179e-6
0.630, 1.047e-6, -8.153e-6
0.625, 1.082e-6, -8.126e-6
0.620, 1.120e-6, -8.098e-6
0.615, 1.171e-6, -8.068e-6
0.610, 1.210e-6, -8.038e-6
0.605, 1.256e-6, -8.007e-6
0.600, 1.306e-6, -7.974e-6
0.595, 1.359e-6, -7.940e-6
0.590, 1.423e-6, -7.905e-6
0.585, 1.489e-6, -7.867e-6
