Nov. 18, 2020   13:49:08
Cyclic Voltammetry
File: c:\documents and settings\administrator\×ÀÃæ\wyz\empty05.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.15
Low E (V) = -0.28
Init P/N = P
Scan Rate (V/s) = 0.5
Segment = 10
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:
Ep = 0.400V
ip = 6.567e-6A
Ah = 1.243e-6C

Segment 3:

Segment 4:
Ep = 0.400V
ip = 6.978e-6A
Ah = 1.355e-6C

Ep = -0.250V
ip = 5.177e-6A
Ah = 6.080e-7C

Segment 5:

Segment 6:
Ep = 0.400V
ip = 7.234e-6A
Ah = 1.408e-6C

Ep = -0.240V
ip = 6.005e-6A
Ah = 6.497e-7C

Segment 7:

Segment 8:
Ep = 0.400V
ip = 7.437e-6A
Ah = 1.457e-6C

Ep = -0.240V
ip = 6.250e-6A
Ah = 6.925e-7C

Segment 9:

Segment 10:
Ep = 0.400V
ip = 7.666e-6A
Ah = 1.492e-6C

Ep = -0.240V
ip = 5.954e-6A
Ah = 6.454e-7C

Potential/V, Current/A, Charge/C

Segment 1:
0.655, -1.261e-6, -1.261e-8
0.660, -1.347e-6, -2.609e-8
0.665, -1.552e-6, -4.160e-8
0.670, -1.625e-6, -5.785e-8
0.675, -1.859e-6, -7.644e-8
0.680, -1.944e-6, -9.588e-8
0.685, -2.197e-6, -1.179e-7
0.690, -2.320e-6, -1.411e-7
0.695, -2.592e-6, -1.670e-7
0.700, -2.719e-6, -1.942e-7
0.705, -3.012e-6, -2.243e-7
0.710, -3.154e-6, -2.558e-7
0.715, -3.457e-6, -2.904e-7
0.720, -3.589e-6, -3.263e-7
0.725, -3.882e-6, -3.651e-7
0.730, -4.000e-6, -4.051e-7
0.735, -4.288e-6, -4.480e-7
0.740, -4.394e-6, -4.919e-7
0.745, -4.657e-6, -5.385e-7
0.750, -4.750e-6, -5.860e-7
0.755, -5.001e-6, -6.360e-7
0.760, -5.066e-6, -6.866e-7
0.765, -5.275e-6, -7.394e-7
0.770, -5.324e-6, -7.926e-7
0.775, -5.516e-6, -8.478e-7
0.780, -5.536e-6, -9.032e-7
0.785, -5.709e-6, -9.603e-7
0.790, -5.723e-6, -1.017e-6
0.795, -5.876e-6, -1.076e-6
0.800, -5.879e-6, -1.135e-6
0.805, -6.008e-6, -1.195e-6
0.810, -5.997e-6, -1.255e-6
0.815, -6.137e-6, -1.316e-6
0.820, -6.098e-6, -1.377e-6
0.825, -6.234e-6, -1.440e-6
0.830, -6.208e-6, -1.502e-6
0.835, -6.323e-6, -1.565e-6
0.840, -6.308e-6, -1.628e-6
0.845, -6.439e-6, -1.693e-6
0.850, -6.408e-6, -1.757e-6
0.855, -6.526e-6, -1.822e-6
0.860, -6.503e-6, -1.887e-6
0.865, -6.612e-6, -1.953e-6
0.870, -6.592e-6, -2.019e-6
0.875, -6.703e-6, -2.086e-6
0.880, -6.682e-6, -2.153e-6
0.885, -6.788e-6, -2.221e-6
0.890, -6.767e-6, -2.288e-6
0.895, -6.893e-6, -2.357e-6
0.900, -6.882e-6, -2.426e-6
0.905, -6.991e-6, -2.496e-6
0.910, -6.983e-6, -2.566e-6
0.915, -7.091e-6, -2.637e-6
0.920, -7.089e-6, -2.708e-6
0.925, -7.198e-6, -2.780e-6
0.930, -7.191e-6, -2.852e-6
0.935, -7.306e-6, -2.925e-6
0.940, -7.295e-6, -2.998e-6
0.945, -7.418e-6, -3.072e-6
0.950, -7.414e-6, -3.146e-6
0.955, -7.524e-6, -3.221e-6
0.960, -7.520e-6, -3.296e-6
0.965, -7.634e-6, -3.373e-6
0.970, -7.632e-6, -3.449e-6
0.975, -7.749e-6, -3.526e-6
0.980, -7.749e-6, -3.604e-6
0.985, -7.861e-6, -3.683e-6
0.990, -7.857e-6, -3.761e-6
0.995, -7.976e-6, -3.841e-6
1.000, -7.984e-6, -3.921e-6
1.005, -8.104e-6, -4.002e-6
1.010, -8.100e-6, -4.083e-6
1.015, -8.207e-6, -4.165e-6
1.020, -8.207e-6, -4.247e-6
1.025, -8.307e-6, -4.330e-6
1.030, -8.308e-6, -4.413e-6
1.035, -8.421e-6, -4.497e-6
1.040, -8.420e-6, -4.581e-6
1.045, -8.531e-6, -4.667e-6
1.050, -8.537e-6, -4.752e-6
1.055, -8.640e-6, -4.839e-6
1.060, -8.630e-6, -4.925e-6
1.065, -8.725e-6, -5.012e-6
1.070, -8.721e-6, -5.099e-6
1.075, -8.829e-6, -5.188e-6
1.080, -8.827e-6, -5.276e-6
1.085, -8.935e-6, -5.365e-6
1.090, -8.929e-6, -5.455e-6
1.095, -9.023e-6, -5.545e-6
1.100, -9.023e-6, -5.635e-6
1.105, -9.104e-6, -5.726e-6
1.110, -9.101e-6, -5.817e-6
1.115, -9.204e-6, -5.909e-6
1.120, -9.198e-6, -6.001e-6
1.125, -9.303e-6, -6.094e-6
1.130, -9.296e-6, -6.187e-6
1.135, -9.386e-6, -6.281e-6
1.140, -9.381e-6, -6.375e-6
1.145, -9.474e-6, -6.469e-6
1.150, -8.549e-6, -6.555e-6

Segment 2:
1.145, -6.824e-6, -6.623e-6
1.140, -5.634e-6, -6.680e-6
1.135, -4.800e-6, -6.728e-6
1.130, -4.044e-6, -6.768e-6
1.125, -3.521e-6, -6.803e-6
1.120, -3.001e-6, -6.833e-6
1.115, -2.662e-6, -6.860e-6
1.110, -2.278e-6, -6.883e-6
1.105, -2.037e-6, -6.903e-6
1.100, -1.741e-6, -6.920e-6
1.095, -1.568e-6, -6.936e-6
1.090, -1.331e-6, -6.949e-6
1.085, -1.219e-6, -6.962e-6
1.080, -1.027e-6, -6.972e-6
1.075, -9.508e-7, -6.981e-6
1.070, -7.830e-7, -6.989e-6
1.065, -7.306e-7, -6.996e-6
1.060, -5.868e-7, -7.002e-6
1.055, -5.520e-7, -7.008e-6
1.050, -4.290e-7, -7.012e-6
1.045, -4.125e-7, -7.016e-6
1.040, -2.946e-7, -7.019e-6
1.035, -2.918e-7, -7.022e-6
1.030, -1.818e-7, -7.024e-6
1.025, -1.849e-7, -7.026e-6
1.020, -8.619e-8, -7.027e-6
1.015, -9.505e-8, -7.028e-6
1.010, 4.151e-9, -7.028e-6
1.005, -6.100e-9, -7.028e-6
1.000, 8.647e-8, -7.027e-6
0.995, 5.854e-8, -7.026e-6
0.990, 1.519e-7, -7.025e-6
0.985, 1.249e-7, -7.023e-6
0.980, 2.063e-7, -7.021e-6
0.975, 1.842e-7, -7.020e-6
0.970, 2.719e-7, -7.017e-6
0.965, 2.394e-7, -7.014e-6
0.960, 3.041e-7, -7.011e-6
0.955, 2.891e-7, -7.008e-6
0.950, 3.583e-7, -7.005e-6
0.945, 3.272e-7, -7.002e-6
0.940, 4.015e-7, -6.998e-6
0.935, 3.672e-7, -6.994e-6
0.930, 4.418e-7, -6.990e-6
0.925, 4.054e-7, -6.985e-6
0.920, 4.856e-7, -6.981e-6
0.915, 4.466e-7, -6.976e-6
0.910, 5.197e-7, -6.971e-6
0.905, 4.901e-7, -6.966e-6
0.900, 5.631e-7, -6.960e-6
0.895, 5.289e-7, -6.955e-6
0.890, 6.008e-7, -6.949e-6
0.885, 5.646e-7, -6.943e-6
0.880, 6.446e-7, -6.937e-6
0.875, 5.997e-7, -6.931e-6
0.870, 6.804e-7, -6.924e-6
0.865, 6.473e-7, -6.918e-6
0.860, 7.196e-7, -6.911e-6
0.855, 6.835e-7, -6.904e-6
0.850, 7.595e-7, -6.896e-6
0.845, 7.275e-7, -6.889e-6
0.840, 8.019e-7, -6.881e-6
0.835, 7.666e-7, -6.873e-6
0.830, 8.461e-7, -6.865e-6
0.825, 8.097e-7, -6.857e-6
0.820, 8.785e-7, -6.848e-6
0.815, 8.531e-7, -6.839e-6
0.810, 9.343e-7, -6.830e-6
0.805, 8.956e-7, -6.821e-6
0.800, 9.853e-7, -6.811e-6
0.795, 9.515e-7, -6.802e-6
0.790, 1.054e-6, -6.791e-6
0.785, 1.007e-6, -6.781e-6
0.780, 1.087e-6, -6.770e-6
0.775, 1.072e-6, -6.759e-6
0.770, 1.149e-6, -6.748e-6
0.765, 1.119e-6, -6.737e-6
0.760, 1.209e-6, -6.725e-6
0.755, 1.176e-6, -6.713e-6
0.750, 1.274e-6, -6.700e-6
0.745, 1.249e-6, -6.688e-6
0.740, 1.343e-6, -6.674e-6
0.735, 1.321e-6, -6.661e-6
0.730, 1.434e-6, -6.647e-6
0.725, 1.400e-6, -6.633e-6
0.720, 1.515e-6, -6.618e-6
0.715, 1.502e-6, -6.603e-6
0.710, 1.602e-6, -6.587e-6
0.705, 1.574e-6, -6.571e-6
0.700, 1.690e-6, -6.554e-6
0.695, 1.672e-6, -6.537e-6
0.690, 1.787e-6, -6.519e-6
0.685, 1.773e-6, -6.502e-6
0.680, 1.890e-6, -6.483e-6
0.675, 1.886e-6, -6.464e-6
0.670, 2.006e-6, -6.444e-6
0.665, 2.000e-6, -6.424e-6
0.660, 2.127e-6, -6.402e-6
0.655, 2.129e-6, -6.381e-6
0.650, 2.257e-6, -6.359e-6
0.645, 2.268e-6, -6.336e-6
0.640, 2.409e-6, -6.312e-6
0.635, 2.430e-6, -6.288e-6
0.630, 2.574e-6, -6.262e-6
0.625, 2.593e-6, -6.236e-6
0.620, 2.739e-6, -6.208e-6
0.615, 2.775e-6, -6.181e-6
0.610, 2.934e-6, -6.151e-6
0.605, 2.982e-6, -6.122e-6
0.600, 3.146e-6, -6.090e-6
0.595, 3.199e-6, -6.058e-6
