Nov. 18, 2020   14:02:18
Cyclic Voltammetry
File: c:\documents and settings\administrator\×ÀÃæ\wyz\o2a.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.15
Low E (V) = -0.28
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:
Ep = 0.180V
ip = 2.432e-5A
Ah = 2.274e-5C

Segment 3:

Segment 4:
Ep = 0.245V
ip = 2.148e-5A
Ah = 1.717e-5C

Segment 5:
Segment 6:
Ep = 0.225V
ip = 2.464e-5A
Ah = 3.007e-5C

Segment 7:
Segment 8:
Ep = 0.185V
ip = 2.746e-5A
Ah = 2.834e-5C

Segment 9:
Segment 10:
Ep = 0.245V
ip = 2.334e-5A
Ah = 2.047e-5C

Potential/V, Current/A, Charge/C

Segment 1:
0.655, -2.105e-7, -1.052e-8
0.660, -2.161e-7, -2.133e-8
0.665, -2.225e-7, -3.246e-8
0.670, -2.262e-7, -4.377e-8
0.675, -2.304e-7, -5.529e-8
0.680, -2.367e-7, -6.712e-8
0.685, -2.441e-7, -7.932e-8
0.690, -2.520e-7, -9.193e-8
0.695, -2.598e-7, -1.049e-7
0.700, -2.709e-7, -1.185e-7
0.705, -2.834e-7, -1.326e-7
0.710, -2.999e-7, -1.476e-7
0.715, -3.111e-7, -1.632e-7
0.720, -3.294e-7, -1.797e-7
0.725, -3.392e-7, -1.966e-7
0.730, -3.535e-7, -2.143e-7
0.735, -3.676e-7, -2.327e-7
0.740, -3.807e-7, -2.517e-7
0.745, -3.916e-7, -2.713e-7
0.750, -4.123e-7, -2.919e-7
0.755, -4.279e-7, -3.133e-7
0.760, -4.415e-7, -3.354e-7
0.765, -4.579e-7, -3.583e-7
0.770, -4.791e-7, -3.822e-7
0.775, -5.030e-7, -4.074e-7
0.780, -5.303e-7, -4.339e-7
0.785, -5.606e-7, -4.619e-7
0.790, -5.822e-7, -4.910e-7
0.795, -6.054e-7, -5.213e-7
0.800, -6.342e-7, -5.530e-7
0.805, -6.587e-7, -5.859e-7
0.810, -6.888e-7, -6.204e-7
0.815, -7.156e-7, -6.562e-7
0.820, -7.410e-7, -6.932e-7
0.825, -7.652e-7, -7.315e-7
0.830, -7.895e-7, -7.709e-7
0.835, -8.164e-7, -8.118e-7
0.840, -8.424e-7, -8.539e-7
0.845, -8.701e-7, -8.974e-7
0.850, -9.150e-7, -9.431e-7
0.855, -9.363e-7, -9.900e-7
0.860, -9.655e-7, -1.038e-6
0.865, -1.002e-6, -1.088e-6
0.870, -1.036e-6, -1.140e-6
0.875, -1.071e-6, -1.194e-6
0.880, -1.111e-6, -1.249e-6
0.885, -1.141e-6, -1.306e-6
0.890, -1.177e-6, -1.365e-6
0.895, -1.210e-6, -1.426e-6
0.900, -1.242e-6, -1.488e-6
0.905, -1.273e-6, -1.551e-6
0.910, -1.308e-6, -1.617e-6
0.915, -1.345e-6, -1.684e-6
0.920, -1.380e-6, -1.753e-6
0.925, -1.415e-6, -1.824e-6
0.930, -1.454e-6, -1.897e-6
0.935, -1.492e-6, -1.971e-6
0.940, -1.533e-6, -2.048e-6
0.945, -1.572e-6, -2.126e-6
0.950, -1.616e-6, -2.207e-6
0.955, -1.649e-6, -2.290e-6
0.960, -1.702e-6, -2.375e-6
0.965, -1.750e-6, -2.462e-6
0.970, -1.790e-6, -2.552e-6
0.975, -1.833e-6, -2.643e-6
0.980, -1.874e-6, -2.737e-6
0.985, -1.906e-6, -2.832e-6
0.990, -1.940e-6, -2.929e-6
0.995, -1.987e-6, -3.029e-6
1.000, -2.031e-6, -3.130e-6
1.005, -2.071e-6, -3.234e-6
1.010, -2.112e-6, -3.339e-6
1.015, -2.149e-6, -3.447e-6
1.020, -2.194e-6, -3.557e-6
1.025, -2.235e-6, -3.668e-6
1.030, -2.282e-6, -3.782e-6
1.035, -2.319e-6, -3.898e-6
1.040, -2.364e-6, -4.017e-6
1.045, -2.402e-6, -4.137e-6
1.050, -2.444e-6, -4.259e-6
1.055, -2.482e-6, -4.383e-6
1.060, -2.515e-6, -4.509e-6
1.065, -2.549e-6, -4.636e-6
1.070, -2.570e-6, -4.765e-6
1.075, -2.629e-6, -4.896e-6
1.080, -2.659e-6, -5.029e-6
1.085, -2.670e-6, -5.163e-6
1.090, -2.723e-6, -5.299e-6
1.095, -2.754e-6, -5.436e-6
1.100, -2.791e-6, -5.576e-6
1.105, -2.819e-6, -5.717e-6
1.110, -2.855e-6, -5.860e-6
1.115, -2.890e-6, -6.004e-6
1.120, -2.915e-6, -6.150e-6
1.125, -2.943e-6, -6.297e-6
1.130, -2.971e-6, -6.446e-6
1.135, -2.984e-6, -6.595e-6
1.140, -3.013e-6, -6.745e-6
1.145, -3.036e-6, -6.897e-6
1.150, -2.799e-6, -7.037e-6

Segment 2:
1.145, -2.333e-6, -7.154e-6
1.140, -1.983e-6, -7.253e-6
1.135, -1.707e-6, -7.338e-6
1.130, -1.477e-6, -7.412e-6
1.125, -1.286e-6, -7.476e-6
1.120, -1.139e-6, -7.533e-6
1.115, -9.995e-7, -7.583e-6
1.110, -8.950e-7, -7.628e-6
1.105, -7.957e-7, -7.668e-6
1.100, -7.165e-7, -7.704e-6
1.095, -6.387e-7, -7.736e-6
1.090, -5.816e-7, -7.765e-6
1.085, -5.254e-7, -7.791e-6
1.080, -4.719e-7, -7.815e-6
1.075, -4.223e-7, -7.836e-6
1.070, -3.810e-7, -7.855e-6
1.065, -3.430e-7, -7.872e-6
1.060, -3.161e-7, -7.888e-6
1.055, -2.768e-7, -7.902e-6
1.050, -2.503e-7, -7.914e-6
1.045, -2.274e-7, -7.925e-6
1.040, -2.088e-7, -7.936e-6
1.035, -1.861e-7, -7.945e-6
1.030, -1.686e-7, -7.954e-6
1.025, -1.568e-7, -7.961e-6
1.020, -1.439e-7, -7.969e-6
1.015, -1.333e-7, -7.975e-6
1.010, -1.176e-7, -7.981e-6
1.005, -1.039e-7, -7.986e-6
1.000, -9.214e-8, -7.991e-6
0.995, -7.907e-8, -7.995e-6
0.990, -6.574e-8, -7.998e-6
0.985, -4.870e-8, -8.001e-6
0.980, -3.983e-8, -8.003e-6
0.975, -2.593e-8, -8.004e-6
0.970, -1.881e-8, -8.005e-6
0.965, -7.118e-9, -8.005e-6
0.960, -2.711e-9, -8.005e-6
0.955, 7.804e-9, -8.005e-6
0.950, 1.157e-8, -8.004e-6
0.945, 1.481e-8, -8.004e-6
0.940, 1.977e-8, -8.003e-6
0.935, 2.709e-8, -8.001e-6
0.930, 2.763e-8, -8.000e-6
0.925, 3.332e-8, -7.998e-6
0.920, 3.895e-8, -7.996e-6
0.915, 4.969e-8, -7.994e-6
0.910, 5.090e-8, -7.991e-6
0.905, 6.170e-8, -7.988e-6
0.900, 6.649e-8, -7.985e-6
0.895, 7.804e-8, -7.981e-6
0.890, 8.262e-8, -7.977e-6
0.885, 9.057e-8, -7.972e-6
0.880, 9.312e-8, -7.968e-6
0.875, 1.021e-7, -7.963e-6
0.870, 9.889e-8, -7.958e-6
0.865, 1.047e-7, -7.952e-6
0.860, 1.047e-7, -7.947e-6
0.855, 1.150e-7, -7.941e-6
0.850, 1.132e-7, -7.936e-6
0.845, 1.234e-7, -7.930e-6
0.840, 1.248e-7, -7.923e-6
0.835, 1.325e-7, -7.917e-6
0.830, 1.377e-7, -7.910e-6
0.825, 1.499e-7, -7.902e-6
0.820, 1.538e-7, -7.895e-6
0.815, 1.649e-7, -7.886e-6
0.810, 1.670e-7, -7.878e-6
0.805, 1.781e-7, -7.869e-6
0.800, 1.803e-7, -7.860e-6
0.795, 1.913e-7, -7.851e-6
0.790, 1.874e-7, -7.841e-6
0.785, 1.969e-7, -7.831e-6
0.780, 1.970e-7, -7.822e-6
0.775, 2.075e-7, -7.811e-6
0.770, 2.073e-7, -7.801e-6
0.765, 2.188e-7, -7.790e-6
0.760, 2.240e-7, -7.779e-6
0.755, 2.318e-7, -7.767e-6
0.750, 2.410e-7, -7.755e-6
0.745, 2.552e-7, -7.742e-6
0.740, 2.672e-7, -7.729e-6
0.735, 2.767e-7, -7.715e-6
0.730, 2.903e-7, -7.701e-6
0.725, 2.968e-7, -7.686e-6
0.720, 3.059e-7, -7.670e-6
0.715, 3.084e-7, -7.655e-6
0.710, 3.208e-7, -7.639e-6
0.705, 3.261e-7, -7.623e-6
0.700, 3.335e-7, -7.606e-6
0.695, 3.424e-7, -7.589e-6
0.690, 3.510e-7, -7.571e-6
0.685, 3.673e-7, -7.553e-6
0.680, 3.775e-7, -7.534e-6
0.675, 3.974e-7, -7.514e-6
0.670, 4.093e-7, -7.494e-6
0.665, 4.289e-7, -7.472e-6
0.660, 4.462e-7, -7.450e-6
0.655, 4.627e-7, -7.427e-6
0.650, 4.797e-7, -7.403e-6
0.645, 4.965e-7, -7.378e-6
0.640, 5.137e-7, -7.352e-6
0.635, 5.309e-7, -7.326e-6
0.630, 5.408e-7, -7.299e-6
0.625, 5.629e-7, -7.271e-6
0.620, 5.813e-7, -7.242e-6
0.615, 6.090e-7, -7.211e-6
0.610, 6.284e-7, -7.180e-6
0.605, 6.522e-7, -7.147e-6
0.600, 6.815e-7, -7.113e-6
0.595, 7.098e-7, -7.078e-6
0.590, 7.442e-7, -7.040e-6
0.585, 7.823e-7, -7.001e-6
0.580, 8.165e-7, -6.960e-6
0.575, 8.580e-7, -6.917e-6
0.570, 8.933e-7, -6.873e-6
0.565, 9.360e-7, -6.826e-6
0.560, 9.772e-7, -6.777e-6
