Nov. 18, 2020   14:15:48
Cyclic Voltammetry
File: c:\documents and settings\administrator\×ÀÃæ\wyz\o2b.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.15
Low E (V) = -0.28
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:
Ep = 0.310V
ip = 1.017e-5A
Ah = 1.076e-5C

Segment 3:
Segment 4:
Ep = 0.305V
ip = 1.224e-5A
Ah = 1.357e-5C

Ep = -0.245V
ip = 2.182e-6A
Ah = 6.843e-7C

Segment 5:
Ep = 1.145V
ip = -9.099e-8A
Ah = -3.275e-8C

Segment 6:
Ep = 0.345V
ip = 1.238e-5A
Ah = 1.100e-5C

Segment 7:
Segment 8:
Ep = 0.320V
ip = 1.422e-5A
Ah = 1.483e-5C

Segment 9:
Segment 10:
Ep = 0.295V
ip = 1.457e-5A
Ah = 1.923e-5C

Ep = 0.150V
ip = 4.065e-6A
Ah = 1.004e-6C

Potential/V, Current/A, Charge/C

Segment 1:
0.655, -2.507e-7, -1.254e-8
0.660, -2.531e-7, -2.519e-8
0.665, -2.592e-7, -3.815e-8
0.670, -2.637e-7, -5.133e-8
0.675, -2.743e-7, -6.505e-8
0.680, -2.834e-7, -7.922e-8
0.685, -2.976e-7, -9.410e-8
0.690, -3.071e-7, -1.095e-7
0.695, -3.204e-7, -1.255e-7
0.700, -3.326e-7, -1.421e-7
0.705, -3.472e-7, -1.595e-7
0.710, -3.580e-7, -1.774e-7
0.715, -3.778e-7, -1.963e-7
0.720, -3.954e-7, -2.160e-7
0.725, -4.141e-7, -2.367e-7
0.730, -4.348e-7, -2.585e-7
0.735, -4.553e-7, -2.812e-7
0.740, -4.779e-7, -3.051e-7
0.745, -5.033e-7, -3.303e-7
0.750, -5.322e-7, -3.569e-7
0.755, -5.504e-7, -3.844e-7
0.760, -5.761e-7, -4.132e-7
0.765, -6.049e-7, -4.435e-7
0.770, -6.325e-7, -4.751e-7
0.775, -6.584e-7, -5.080e-7
0.780, -6.874e-7, -5.424e-7
0.785, -7.169e-7, -5.782e-7
0.790, -7.427e-7, -6.154e-7
0.795, -7.727e-7, -6.540e-7
0.800, -7.994e-7, -6.940e-7
0.805, -8.313e-7, -7.355e-7
0.810, -8.546e-7, -7.783e-7
0.815, -8.886e-7, -8.227e-7
0.820, -9.168e-7, -8.685e-7
0.825, -9.433e-7, -9.157e-7
0.830, -9.732e-7, -9.644e-7
0.835, -1.002e-6, -1.014e-6
0.840, -1.032e-6, -1.066e-6
0.845, -1.062e-6, -1.119e-6
0.850, -1.092e-6, -1.174e-6
0.855, -1.123e-6, -1.230e-6
0.860, -1.144e-6, -1.287e-6
0.865, -1.178e-6, -1.346e-6
0.870, -1.202e-6, -1.406e-6
0.875, -1.231e-6, -1.468e-6
0.880, -1.259e-6, -1.531e-6
0.885, -1.288e-6, -1.595e-6
0.890, -1.318e-6, -1.661e-6
0.895, -1.341e-6, -1.728e-6
0.900, -1.368e-6, -1.796e-6
0.905, -1.393e-6, -1.866e-6
0.910, -1.419e-6, -1.937e-6
0.915, -1.441e-6, -2.009e-6
0.920, -1.469e-6, -2.082e-6
0.925, -1.492e-6, -2.157e-6
0.930, -1.515e-6, -2.233e-6
0.935, -1.533e-6, -2.309e-6
0.940, -1.556e-6, -2.387e-6
0.945, -1.576e-6, -2.466e-6
0.950, -1.596e-6, -2.546e-6
0.955, -1.616e-6, -2.627e-6
0.960, -1.628e-6, -2.708e-6
0.965, -1.652e-6, -2.791e-6
0.970, -1.667e-6, -2.874e-6
0.975, -1.687e-6, -2.958e-6
0.980, -1.709e-6, -3.044e-6
0.985, -1.727e-6, -3.130e-6
0.990, -1.744e-6, -3.217e-6
0.995, -1.762e-6, -3.305e-6
1.000, -1.773e-6, -3.394e-6
1.005, -1.791e-6, -3.483e-6
1.010, -1.804e-6, -3.574e-6
1.015, -1.813e-6, -3.664e-6
1.020, -1.821e-6, -3.755e-6
1.025, -1.837e-6, -3.847e-6
1.030, -1.850e-6, -3.940e-6
1.035, -1.862e-6, -4.033e-6
1.040, -1.870e-6, -4.126e-6
1.045, -1.884e-6, -4.221e-6
1.050, -1.895e-6, -4.315e-6
1.055, -1.905e-6, -4.411e-6
1.060, -1.910e-6, -4.506e-6
1.065, -1.918e-6, -4.602e-6
1.070, -1.927e-6, -4.698e-6
1.075, -1.940e-6, -4.795e-6
1.080, -1.951e-6, -4.893e-6
1.085, -1.961e-6, -4.991e-6
1.090, -1.968e-6, -5.089e-6
1.095, -1.982e-6, -5.188e-6
1.100, -1.995e-6, -5.288e-6
1.105, -2.006e-6, -5.389e-6
1.110, -2.012e-6, -5.489e-6
1.115, -2.025e-6, -5.590e-6
1.120, -2.040e-6, -5.692e-6
1.125, -2.057e-6, -5.795e-6
1.130, -2.071e-6, -5.899e-6
1.135, -2.084e-6, -6.003e-6
1.140, -2.099e-6, -6.108e-6
1.145, -2.111e-6, -6.213e-6
1.150, -1.877e-6, -6.307e-6

Segment 2:
1.145, -1.497e-6, -6.382e-6
1.140, -1.245e-6, -6.444e-6
1.135, -1.053e-6, -6.497e-6
1.130, -8.931e-7, -6.542e-6
1.125, -7.716e-7, -6.580e-6
1.120, -6.685e-7, -6.614e-6
1.115, -5.833e-7, -6.643e-6
1.110, -5.100e-7, -6.668e-6
1.105, -4.481e-7, -6.691e-6
1.100, -3.922e-7, -6.710e-6
1.095, -3.490e-7, -6.728e-6
1.090, -3.108e-7, -6.743e-6
1.085, -2.760e-7, -6.757e-6
1.080, -2.416e-7, -6.769e-6
1.075, -2.188e-7, -6.780e-6
1.070, -1.901e-7, -6.790e-6
1.065, -1.695e-7, -6.798e-6
1.060, -1.495e-7, -6.806e-6
1.055, -1.354e-7, -6.812e-6
1.050, -1.185e-7, -6.818e-6
1.045, -1.019e-7, -6.823e-6
1.040, -8.858e-8, -6.828e-6
1.035, -7.479e-8, -6.832e-6
1.030, -5.717e-8, -6.835e-6
1.025, -4.685e-8, -6.837e-6
1.020, -3.305e-8, -6.839e-6
1.015, -2.299e-8, -6.840e-6
1.010, -1.183e-8, -6.840e-6
1.005, -6.658e-9, -6.841e-6
1.000, 1.528e-9, -6.841e-6
0.995, 5.204e-9, -6.840e-6
0.990, 1.365e-8, -6.840e-6
0.985, 2.018e-8, -6.839e-6
0.980, 3.004e-8, -6.837e-6
0.975, 3.404e-8, -6.835e-6
0.970, 4.300e-8, -6.833e-6
0.965, 4.405e-8, -6.831e-6
0.960, 5.124e-8, -6.828e-6
0.955, 5.364e-8, -6.826e-6
0.950, 6.161e-8, -6.823e-6
0.945, 6.583e-8, -6.819e-6
0.940, 7.388e-8, -6.816e-6
0.935, 7.667e-8, -6.812e-6
0.930, 8.521e-8, -6.808e-6
0.925, 8.739e-8, -6.803e-6
0.920, 9.391e-8, -6.799e-6
0.915, 9.496e-8, -6.794e-6
0.910, 1.016e-7, -6.789e-6
0.905, 1.040e-7, -6.784e-6
0.900, 1.107e-7, -6.778e-6
0.895, 1.150e-7, -6.772e-6
0.890, 1.220e-7, -6.766e-6
0.885, 1.264e-7, -6.760e-6
0.880, 1.330e-7, -6.753e-6
0.875, 1.360e-7, -6.746e-6
0.870, 1.412e-7, -6.739e-6
0.865, 1.432e-7, -6.732e-6
0.860, 1.481e-7, -6.725e-6
0.855, 1.508e-7, -6.717e-6
0.850, 1.582e-7, -6.709e-6
0.845, 1.625e-7, -6.701e-6
0.840, 1.702e-7, -6.693e-6
0.835, 1.755e-7, -6.684e-6
0.830, 1.834e-7, -6.675e-6
0.825, 1.862e-7, -6.665e-6
0.820, 1.915e-7, -6.656e-6
0.815, 1.944e-7, -6.646e-6
0.810, 2.010e-7, -6.636e-6
0.805, 2.049e-7, -6.626e-6
0.800, 2.138e-7, -6.615e-6
0.795, 2.215e-7, -6.604e-6
0.790, 2.302e-7, -6.593e-6
0.785, 2.348e-7, -6.581e-6
0.780, 2.421e-7, -6.569e-6
0.775, 2.478e-7, -6.556e-6
0.770, 2.554e-7, -6.544e-6
0.765, 2.643e-7, -6.530e-6
0.760, 2.716e-7, -6.517e-6
0.755, 2.807e-7, -6.503e-6
0.750, 2.865e-7, -6.488e-6
0.745, 2.918e-7, -6.474e-6
0.740, 2.998e-7, -6.459e-6
0.735, 3.076e-7, -6.443e-6
0.730, 3.208e-7, -6.427e-6
0.725, 3.306e-7, -6.411e-6
0.720, 3.408e-7, -6.394e-6
0.715, 3.469e-7, -6.376e-6
0.710, 3.614e-7, -6.358e-6
0.705, 3.730e-7, -6.340e-6
0.700, 3.860e-7, -6.320e-6
0.695, 3.923e-7, -6.301e-6
0.690, 4.073e-7, -6.280e-6
0.685, 4.220e-7, -6.259e-6
0.680, 4.366e-7, -6.237e-6
0.675, 4.463e-7, -6.215e-6
0.670, 4.668e-7, -6.192e-6
0.665, 4.799e-7, -6.168e-6
0.660, 4.935e-7, -6.143e-6
0.655, 5.099e-7, -6.118e-6
0.650, 5.319e-7, -6.091e-6
0.645, 5.439e-7, -6.064e-6
0.640, 5.700e-7, -6.035e-6
0.635, 5.863e-7, -6.006e-6
0.630, 6.098e-7, -5.976e-6
0.625, 6.311e-7, -5.944e-6
0.620, 6.546e-7, -5.911e-6
0.615, 6.786e-7, -5.877e-6
0.610, 7.043e-7, -5.842e-6
0.605, 7.306e-7, -5.806e-6
0.600, 7.626e-7, -5.767e-6
0.595, 7.888e-7, -5.728e-6
0.590, 8.285e-7, -5.687e-6
0.585, 8.616e-7, -5.644e-6
